Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,61.6%,62.0%,61.4%,62.4%,60.8%,61.6%
2,Portland,66.5%,56.9%,52.3%,68.9%,64.7%,66.5%
3,Detroit,68.9%,70.2%,77.4%,66.0%,72.8%,68.9%
4,Phoenix,69.1%,60.8%,60.5%,70.3%,67.8%,69.1%
5,New York,69.4%,68.9%,71.4%,68.0%,71.8%,69.4%
6,Utah,69.6%,75.9%,65.7%,65.7%,73.9%,69.6%
7,Charlotte,69.7%,68.6%,60.0%,70.9%,68.9%,69.7%
8,Boston,70.6%,68.3%,70.8%,69.6%,71.8%,70.6%
9,New Orleans,71.5%,71.0%,80.0%,70.4%,72.7%,71.5%
10,Denver,71.9%,73.2%,67.6%,71.2%,72.5%,71.9%
11,Philadelphia,72.1%,73.3%,78.0%,72.4%,71.8%,72.1%
12,Indiana,72.4%,69.9%,79.2%,75.0%,70.5%,72.4%
13,Orlando,72.8%,77.0%,73.3%,74.0%,71.3%,72.8%
14,Cleveland,72.9%,77.2%,70.2%,75.0%,70.2%,72.9%
15,San Antonio,73.0%,81.7%,76.7%,74.6%,70.2%,73.0%
16,Minnesota,73.7%,66.7%,68.2%,72.6%,74.8%,73.7%
17,LA Lakers,74.6%,71.9%,69.4%,75.2%,74.1%,74.6%
18,Brooklyn,75.3%,79.2%,81.1%,74.3%,76.3%,75.3%
19,Memphis,75.7%,69.9%,71.8%,75.8%,75.5%,75.7%
20,Golden State,75.7%,74.5%,77.5%,78.6%,74.3%,75.7%
21,Toronto,75.8%,73.6%,62.9%,76.1%,75.7%,75.8%
22,LA Clippers,76.0%,78.9%,79.6%,75.7%,76.3%,76.0%
23,Chicago,76.5%,80.6%,82.6%,74.9%,77.8%,76.5%
24,Okla City,76.7%,76.9%,90.0%,77.0%,76.4%,76.7%
25,Atlanta,77.4%,78.7%,84.6%,75.6%,78.5%,77.4%
26,Washington,77.9%,82.4%,83.3%,79.7%,76.6%,77.9%
27,Miami,77.9%,75.3%,67.4%,78.9%,76.9%,77.9%
28,Dallas,78.0%,78.2%,75.0%,77.9%,78.3%,78.0%
29,Sacramento,80.3%,84.1%,90.5%,80.2%,80.3%,80.3%
30,Milwaukee,80.6%,84.3%,93.2%,82.0%,79.0%,80.6%
