Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Houston,26.4,28.3,27.0,27.7,25.0,31.4
2,LA Lakers,28.5,27.3,25.0,28.8,28.3,31.8
3,Denver,29.1,30.0,23.0,31.1,27.4,30.9
4,Phoenix,29.4,25.3,23.0,27.7,31.6,32.7
5,San Antonio,29.4,34.3,33.0,29.0,30.2,34.1
6,Charlotte,29.8,35.0,33.0,28.1,31.3,33.9
7,Detroit,30.5,26.7,24.0,30.8,30.1,31.8
8,Orlando,30.8,34.7,33.0,31.3,30.1,33.0
9,Minnesota,31.1,31.3,30.0,31.8,30.5,31.4
10,Portland,31.3,27.3,23.0,31.7,31.0,32.3
11,Toronto,31.4,27.0,22.0,31.8,31.1,33.5
12,LA Clippers,31.5,35.0,39.0,29.3,34.0,31.8
13,Utah,31.5,33.7,23.0,29.8,33.6,32.6
14,Philadelphia,31.9,33.0,39.0,30.9,33.1,34.0
15,Boston,32.1,31.7,34.0,33.1,31.1,32.7
16,Okla City,32.5,27.7,27.0,32.6,32.4,33.4
17,Atlanta,32.9,32.0,33.0,34.2,32.2,33.5
18,New York,33.1,34.7,40.0,31.1,36.6,31.0
19,Golden State,33.4,34.0,31.0,33.7,33.3,33.3
20,New Orleans,33.6,31.0,36.0,33.0,34.3,33.9
21,Cleveland,33.7,31.7,33.0,33.3,34.3,31.9
22,Chicago,33.9,38.7,38.0,31.1,36.4,35.1
23,Brooklyn,34.0,33.0,30.0,34.3,33.8,33.6
24,Milwaukee,34.6,39.3,41.0,34.0,35.4,34.3
25,Memphis,35.0,33.3,28.0,35.1,34.9,32.0
26,Miami,35.1,36.7,31.0,36.0,34.1,33.9
27,Sacramento,35.6,37.0,38.0,37.1,34.4,32.3
28,Washington,35.9,34.3,35.0,38.0,34.6,36.0
29,Dallas,36.2,37.0,33.0,35.9,36.8,33.1
30,Indiana,36.6,31.0,38.0,37.3,36.1,33.3
