Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Miami,50.6%,47.0%,47.8%,48.6%,52.8%,50.6%
2,Okla City,50.7%,54.2%,58.2%,50.9%,50.6%,50.7%
3,Detroit,51.5%,51.7%,56.9%,51.9%,50.9%,51.5%
4,Denver,51.6%,52.2%,51.6%,49.8%,53.1%,51.6%
5,Dallas,51.6%,51.1%,50.0%,51.4%,52.2%,51.6%
6,Boston,51.6%,54.9%,60.4%,53.6%,49.7%,51.6%
7,Orlando,52.9%,50.4%,48.3%,52.6%,53.2%,52.9%
8,Minnesota,53.0%,53.0%,56.8%,52.5%,53.5%,53.0%
9,Toronto,53.1%,51.9%,52.3%,54.2%,52.4%,53.1%
10,Cleveland,53.3%,50.0%,48.3%,53.2%,53.6%,53.3%
11,San Antonio,53.3%,55.4%,67.8%,53.7%,52.6%,53.3%
12,Atlanta,53.5%,58.5%,62.1%,54.1%,53.1%,53.5%
13,Chicago,53.5%,51.6%,54.0%,54.0%,53.1%,53.5%
14,Phoenix,53.6%,53.7%,52.3%,51.1%,56.9%,53.6%
15,Houston,53.6%,53.0%,59.9%,53.9%,53.3%,53.6%
16,Philadelphia,54.1%,54.6%,56.5%,53.7%,54.6%,54.1%
17,Milwaukee,54.2%,58.1%,52.6%,54.7%,53.5%,54.2%
18,Golden State,54.3%,53.0%,56.8%,50.5%,56.3%,54.3%
19,Indiana,54.8%,53.3%,55.6%,53.3%,56.0%,54.8%
20,LA Clippers,55.5%,54.3%,57.4%,55.7%,55.2%,55.5%
21,LA Lakers,55.8%,53.3%,59.2%,56.4%,55.4%,55.8%
22,Portland,56.0%,57.4%,58.4%,55.9%,56.0%,56.0%
23,New York,56.0%,52.8%,50.6%,55.8%,56.3%,56.0%
24,Washington,56.1%,60.2%,66.3%,56.3%,56.0%,56.1%
25,Memphis,56.2%,54.8%,53.1%,54.3%,58.6%,56.2%
26,Utah,57.7%,64.2%,75.3%,57.2%,58.2%,57.7%
27,Charlotte,58.1%,58.6%,63.5%,55.5%,60.3%,58.1%
28,Sacramento,58.3%,57.8%,59.1%,58.7%,58.0%,58.3%
29,Brooklyn,58.5%,55.0%,52.8%,60.0%,57.2%,58.5%
30,New Orleans,58.9%,59.4%,57.1%,58.6%,59.3%,58.9%
