Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,New York,0.936,0.966,0.924,0.934,0.939,0.964
2,Okla City,0.936,0.938,0.943,0.917,0.951,0.946
3,Golden State,0.945,0.968,1.0,0.959,0.939,0.951
4,LA Lakers,0.947,0.926,0.909,0.948,0.946,0.978
5,Detroit,0.952,0.964,0.922,0.958,0.946,0.958
6,Cleveland,0.953,0.971,1.03,0.949,0.958,0.968
7,San Antonio,0.954,0.967,0.905,0.952,0.956,0.985
8,Portland,0.956,0.968,0.92,0.937,0.972,0.965
9,Phoenix,0.957,0.971,0.955,0.961,0.952,0.993
10,New Orleans,0.958,0.934,0.897,0.962,0.954,0.979
11,Orlando,0.959,0.94,0.897,0.949,0.973,0.932
12,Charlotte,0.96,0.948,0.943,0.987,0.938,0.981
13,Sacramento,0.963,0.968,1.029,0.943,0.978,0.962
14,Memphis,0.963,0.91,0.875,0.969,0.955,0.969
15,Toronto,0.965,0.949,0.951,0.977,0.959,0.965
16,Atlanta,0.965,0.968,0.99,0.962,0.968,0.947
17,Brooklyn,0.971,0.896,0.897,0.978,0.965,0.951
18,Milwaukee,0.973,0.927,0.973,0.976,0.97,0.98
18,Minnesota,0.973,0.943,0.95,0.96,0.989,0.964
20,Philadelphia,0.973,0.936,0.901,0.987,0.959,0.956
21,Utah,0.974,0.943,0.945,0.986,0.961,0.999
22,Boston,0.975,0.997,0.979,0.967,0.982,0.982
23,Indiana,0.979,1.0,1.086,0.975,0.982,0.966
24,Houston,0.981,0.984,0.98,0.989,0.975,0.965
25,LA Clippers,0.982,1.049,1.009,0.97,0.996,0.949
26,Dallas,0.986,1.042,1.067,0.989,0.977,0.99
27,Denver,0.988,1.013,1.047,0.985,0.99,0.989
28,Miami,0.997,1.009,0.972,1.008,0.984,0.97
29,Chicago,1.001,1.052,1.089,0.984,1.014,0.984
30,Washington,1.023,1.03,1.091,1.011,1.033,0.996
