Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Charlotte,0.236,0.187,0.271,0.232,0.24,0.24
2,Memphis,0.247,0.228,0.188,0.263,0.226,0.267
3,Philadelphia,0.254,0.243,0.141,0.289,0.216,0.245
4,San Antonio,0.255,0.158,0.149,0.218,0.331,0.2
5,Golden State,0.259,0.318,0.271,0.189,0.289,0.253
6,Miami,0.26,0.249,0.211,0.243,0.281,0.203
7,Houston,0.264,0.356,0.395,0.263,0.266,0.242
8,LA Clippers,0.265,0.253,0.255,0.292,0.236,0.244
9,LA Lakers,0.266,0.23,0.196,0.306,0.239,0.232
10,Chicago,0.27,0.311,0.299,0.266,0.272,0.227
11,Okla City,0.271,0.168,0.267,0.31,0.243,0.275
12,New York,0.272,0.274,0.353,0.253,0.308,0.235
13,New Orleans,0.273,0.273,0.325,0.261,0.288,0.242
14,Denver,0.276,0.253,0.316,0.264,0.287,0.226
15,Utah,0.276,0.333,0.476,0.281,0.27,0.243
16,Atlanta,0.278,0.269,0.33,0.285,0.274,0.251
17,Sacramento,0.28,0.245,0.263,0.298,0.267,0.256
18,Orlando,0.285,0.285,0.213,0.273,0.301,0.291
19,Dallas,0.288,0.304,0.376,0.278,0.31,0.228
20,Phoenix,0.29,0.27,0.206,0.287,0.293,0.242
21,Washington,0.297,0.335,0.34,0.337,0.268,0.255
22,Cleveland,0.299,0.305,0.3,0.328,0.264,0.232
23,Minnesota,0.302,0.316,0.136,0.294,0.312,0.238
24,Brooklyn,0.305,0.291,0.347,0.317,0.294,0.28
25,Portland,0.312,0.263,0.146,0.288,0.333,0.255
26,Toronto,0.321,0.287,0.207,0.297,0.332,0.286
27,Milwaukee,0.321,0.316,0.268,0.286,0.367,0.223
28,Boston,0.337,0.322,0.329,0.334,0.34,0.206
29,Detroit,0.346,0.287,0.172,0.344,0.349,0.275
30,Indiana,0.349,0.333,0.206,0.331,0.365,0.265
