Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,San Antonio,1.155,0.826,0.857,1.057,1.366,1.155
2,Okla City,1.361,1.226,1.1,1.317,1.4,1.361
3,LA Lakers,1.425,1.367,0.846,1.283,1.505,1.425
4,Washington,1.471,1.321,1.308,1.773,1.287,1.471
5,Miami,1.475,1.8,1.2,1.395,1.558,1.475
6,Utah,1.543,1.548,1.0,1.562,1.516,1.543
7,Portland,1.598,1.419,0.786,1.816,1.429,1.598
8,Toronto,1.623,1.452,1.889,1.837,1.494,1.623
9,Phoenix,1.649,0.971,0.353,1.449,1.923,1.649
10,Denver,1.681,2.32,1.875,1.769,1.612,1.681
11,Detroit,1.702,1.269,0.667,1.775,1.604,1.702
12,Dallas,1.705,1.41,1.2,1.74,1.62,1.705
13,Atlanta,1.734,1.323,1.9,1.73,1.737,1.734
14,Memphis,1.752,1.0,1.6,1.818,1.661,1.752
15,Golden State,1.764,1.656,1.125,1.604,1.835,1.764
16,Cleveland,1.781,1.214,1.1,1.644,2.0,1.781
17,Chicago,1.781,1.448,1.077,1.938,1.644,1.781
18,Minnesota,1.833,1.731,1.385,1.984,1.677,1.833
19,Milwaukee,1.838,1.586,2.111,1.613,2.161,1.838
20,Sacramento,1.843,1.593,1.636,2.123,1.6,1.843
21,LA Clippers,1.862,3.12,3.417,1.753,1.986,1.862
22,Houston,1.863,2.304,2.125,2.06,1.716,1.863
23,Orlando,1.97,1.909,2.143,1.695,2.396,1.97
24,New Orleans,1.979,1.621,2.111,1.915,2.042,1.979
25,New York,2.009,3.2,2.5,1.844,2.262,2.009
26,Charlotte,2.016,2.591,4.2,1.6,2.4,2.016
27,Brooklyn,2.1,1.3,0.857,1.682,2.611,2.1
28,Indiana,2.282,1.905,2.6,2.411,2.164,2.282
29,Philadelphia,2.426,1.56,1.429,2.576,2.286,2.426
30,Boston,2.479,2.19,2.6,2.789,2.268,2.479
