Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,83.8,86.0,82.0,84.1,83.5,88.9
2,Brooklyn,85.9,79.0,75.0,85.7,86.1,84.3
3,New York,86.0,93.7,85.0,85.8,86.4,87.2
4,Detroit,86.1,87.0,87.0,87.9,84.0,87.9
5,LA Lakers,86.7,87.0,92.0,86.5,86.9,89.1
6,New Orleans,87.1,88.0,83.0,88.3,85.7,90.5
7,Okla City,87.1,89.3,86.0,83.3,90.1,86.6
8,Toronto,87.1,87.0,87.0,87.4,87.0,88.3
9,Phoenix,87.3,90.0,97.0,87.3,87.3,90.1
10,Golden State,88.0,88.0,96.0,90.0,87.2,86.3
11,San Antonio,88.2,92.7,87.0,88.8,87.0,92.5
12,Orlando,88.5,89.0,89.0,87.2,90.1,81.3
12,Cleveland,88.5,89.7,90.0,85.4,92.4,90.1
14,LA Clippers,88.7,93.7,94.0,85.6,92.1,85.7
15,Milwaukee,88.8,84.3,97.0,90.4,86.7,90.9
16,Minnesota,88.9,85.3,88.0,88.1,89.7,87.3
17,Charlotte,89.2,87.3,85.0,88.1,90.1,88.9
18,Portland,89.3,96.3,96.0,87.9,90.5,88.3
19,Sacramento,89.4,91.3,99.0,87.7,90.8,87.7
20,Houston,89.6,87.0,81.0,89.5,89.7,88.2
21,Atlanta,89.6,90.3,91.0,87.7,90.8,90.3
22,Memphis,89.7,83.3,80.0,90.0,89.3,91.9
23,Indiana,90.2,94.0,107.0,92.4,88.3,89.2
24,Philadelphia,90.7,87.7,92.0,88.4,93.3,86.8
25,Denver,90.7,96.0,98.0,91.4,90.0,92.4
26,Utah,92.1,94.0,84.0,96.6,87.7,93.0
27,Dallas,93.9,101.0,93.0,95.5,90.2,91.8
28,Chicago,95.1,105.0,107.0,91.3,98.0,94.9
29,Washington,95.9,89.7,94.0,94.3,97.1,92.8
30,Miami,97.7,97.7,95.0,100.9,94.1,88.5
