Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Boston,36.8,38.0,43.0,38.3,35.3,36.8
2,Okla City,36.9,39.3,38.0,36.3,37.3,36.9
3,Detroit,37.8,38.7,42.0,39.4,36.0,37.8
4,San Antonio,39.8,44.0,49.0,40.0,39.4,39.8
5,Toronto,40.3,39.0,39.0,41.3,39.6,40.3
6,Minnesota,40.3,38.7,39.0,40.3,40.4,40.3
7,New York,40.4,41.3,35.0,40.0,41.2,40.4
8,Houston,40.6,38.0,40.0,40.7,40.4,40.6
9,Phoenix,40.6,42.0,39.0,39.0,42.7,40.6
10,Cleveland,40.6,39.0,37.0,39.8,41.9,40.6
11,Denver,40.8,44.3,41.0,39.4,42.0,40.8
12,Orlando,41.0,39.0,36.0,40.0,42.3,41.0
13,LA Lakers,41.5,39.7,48.0,42.2,41.0,41.5
14,Atlanta,41.5,46.7,48.0,42.0,41.2,41.5
14,Golden State,41.5,41.3,42.0,39.2,42.7,41.5
16,LA Clippers,41.7,43.3,45.0,40.4,43.1,41.7
17,Milwaukee,41.8,41.3,42.0,42.8,40.4,41.8
18,Miami,42.1,38.0,37.0,41.9,42.3,42.1
19,Philadelphia,42.4,41.7,45.0,41.0,44.0,42.4
20,Dallas,42.6,42.3,42.0,43.1,41.6,42.6
21,Memphis,43.3,39.0,37.0,42.8,43.9,43.3
22,Portland,43.3,44.3,40.0,42.3,44.1,43.3
23,Indiana,43.4,44.7,43.0,43.1,43.7,43.4
24,Brooklyn,43.5,38.7,42.0,44.7,42.5,43.5
25,New Orleans,43.8,43.0,40.0,44.3,43.3,43.8
26,Charlotte,44.7,45.0,46.0,42.4,46.6,44.7
27,Chicago,44.7,45.7,47.0,44.4,45.0,44.7
28,Utah,44.8,50.0,51.0,45.5,44.0,44.8
29,Sacramento,45.4,46.0,50.0,44.4,46.1,45.4
30,Washington,46.1,44.0,48.0,45.8,46.2,46.1
