Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,72.8%,71.0%,77.8%,70.2%,75.4%,72.8%
2,Dallas,73.9%,67.0%,77.4%,73.7%,74.3%,73.9%
3,Minnesota,75.5%,69.4%,75.9%,71.5%,79.1%,75.5%
4,Brooklyn,76.1%,80.6%,71.4%,73.2%,79.1%,76.1%
5,Memphis,76.8%,71.9%,73.3%,75.1%,79.4%,76.8%
6,Denver,77.3%,72.9%,65.0%,77.5%,77.1%,77.3%
7,Indiana,77.4%,78.5%,77.8%,76.6%,77.9%,77.4%
8,Orlando,77.5%,81.6%,78.9%,75.2%,80.0%,77.5%
9,Okla City,77.9%,77.4%,83.3%,76.2%,79.2%,77.9%
10,Philadelphia,78.3%,87.5%,76.9%,76.0%,81.6%,78.3%
11,Chicago,78.4%,76.2%,79.5%,77.4%,79.3%,78.4%
12,Washington,78.5%,76.4%,76.9%,80.6%,76.9%,78.5%
13,Charlotte,78.8%,79.6%,82.6%,76.9%,80.3%,78.8%
14,Detroit,79.0%,78.7%,86.7%,75.6%,82.9%,79.0%
15,Atlanta,79.4%,82.2%,73.3%,86.0%,75.5%,79.4%
16,New York,79.6%,79.2%,83.3%,76.9%,83.5%,79.6%
17,Milwaukee,79.6%,82.5%,80.8%,82.8%,76.2%,79.6%
18,Phoenix,79.6%,76.6%,69.7%,76.4%,83.8%,79.6%
19,LA Lakers,80.1%,78.3%,94.4%,80.5%,79.7%,80.1%
20,LA Clippers,80.1%,77.5%,87.5%,82.5%,77.0%,80.1%
21,Sacramento,80.3%,83.6%,76.9%,85.8%,75.7%,80.3%
22,Toronto,80.4%,83.3%,83.3%,75.3%,83.0%,80.4%
23,Miami,80.4%,75.0%,75.0%,79.6%,81.2%,80.4%
24,Boston,80.4%,78.2%,66.7%,77.5%,83.3%,80.4%
25,Cleveland,80.6%,85.3%,92.3%,79.5%,82.5%,80.6%
26,San Antonio,80.8%,65.9%,61.5%,81.4%,79.9%,80.8%
27,New Orleans,80.8%,80.7%,78.6%,78.8%,82.6%,80.8%
28,Utah,80.8%,80.4%,76.0%,83.7%,77.1%,80.8%
29,Portland,82.1%,81.8%,86.7%,83.1%,81.5%,82.1%
30,Golden State,83.1%,83.9%,84.4%,87.2%,81.5%,83.1%
