Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Charlotte,18.6%,14.5%,20.0%,18.4%,18.8%,19.0%
2,Memphis,19.1%,17.2%,13.9%,20.4%,17.5%,20.7%
3,San Antonio,19.8%,13.0%,11.7%,17.3%,24.8%,16.1%
4,Philadelphia,19.9%,19.3%,11.4%,22.5%,17.1%,18.8%
5,Golden State,20.1%,24.3%,25.9%,16.9%,21.8%,19.4%
6,LA Lakers,20.3%,17.4%,15.3%,22.8%,18.5%,18.5%
7,Okla City,20.4%,17.7%,20.3%,22.3%,19.1%,20.7%
8,Miami,20.4%,19.2%,22.8%,19.0%,22.0%,16.2%
9,LA Clippers,20.7%,20.5%,20.2%,22.5%,18.7%,18.9%
10,New York,20.8%,21.6%,26.1%,19.3%,23.7%,18.4%
11,Houston,21.0%,28.0%,25.3%,21.1%,20.9%,18.9%
12,New Orleans,21.0%,23.5%,23.5%,19.8%,22.3%,19.1%
13,Atlanta,21.2%,21.1%,26.2%,21.5%,21.1%,19.4%
14,Denver,21.4%,19.7%,17.8%,20.7%,22.0%,18.2%
15,Utah,21.5%,26.2%,22.9%,22.0%,20.9%,19.5%
16,Sacramento,21.7%,19.7%,22.6%,22.5%,21.0%,20.0%
17,Orlando,21.9%,21.5%,16.3%,20.9%,23.2%,21.8%
18,Phoenix,22.1%,21.2%,26.9%,22.3%,21.9%,19.4%
19,Chicago,22.4%,26.2%,34.0%,23.3%,21.6%,18.3%
20,Cleveland,22.5%,20.0%,23.1%,24.3%,20.1%,18.3%
21,Dallas,22.5%,25.1%,26.5%,22.0%,23.8%,18.2%
22,Brooklyn,22.5%,19.1%,12.6%,23.9%,21.4%,21.4%
23,Minnesota,23.0%,20.2%,23.4%,22.0%,24.0%,18.5%
24,Portland,23.4%,18.4%,26.9%,21.2%,25.0%,19.6%
25,Toronto,23.8%,20.7%,21.2%,22.3%,24.7%,21.9%
26,Washington,24.0%,30.5%,32.8%,25.8%,22.8%,20.1%
27,Milwaukee,24.5%,23.5%,21.4%,22.1%,27.6%,17.9%
28,Boston,24.9%,24.3%,20.1%,24.5%,25.3%,16.6%
29,Detroit,25.3%,21.3%,13.2%,25.2%,25.5%,21.2%
30,Indiana,26.3%,21.7%,23.2%,25.3%,27.1%,20.5%
