Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Charlotte,15.963,12.677,18.063,15.663,16.209,15.963
2,Memphis,16.187,13.147,10.553,16.844,15.332,16.187
3,Houston,17.003,21.808,21.952,16.656,17.342,17.003
4,Philadelphia,17.217,17.933,9.028,18.989,15.293,17.217
5,Okla City,17.53,15.249,18.844,18.803,16.641,17.53
6,San Antonio,17.612,9.433,7.64,15.45,21.805,17.612
7,LA Lakers,17.935,15.051,15.486,20.347,16.278,17.935
8,New York,17.991,18.816,23.824,16.204,21.142,17.991
9,Denver,18.463,16.538,13.589,17.905,18.962,18.463
10,Golden State,18.521,23.272,26.284,16.627,19.44,18.521
11,LA Clippers,18.559,18.038,19.679,20.68,16.214,18.559
12,Dallas,18.587,18.842,22.22,18.121,19.748,18.587
13,Miami,18.644,16.104,18.325,17.477,19.838,18.644
14,Orlando,18.754,19.515,14.057,17.194,20.748,18.754
15,New Orleans,18.91,20.97,20.368,17.622,20.198,18.91
16,Atlanta,18.91,19.189,21.01,20.656,17.874,18.91
17,Brooklyn,19.09,16.782,10.276,19.465,18.757,19.09
18,Utah,19.119,22.691,17.901,20.329,17.643,19.119
19,Sacramento,19.141,17.968,19.187,21.136,17.563,19.141
20,Minnesota,19.504,15.675,20.235,17.588,21.446,19.504
21,Chicago,19.595,23.195,30.541,19.834,19.391,19.595
22,Phoenix,19.705,18.187,21.154,19.064,20.524,19.705
23,Cleveland,20.098,18.883,23.395,21.263,18.508,20.098
24,Toronto,21.317,19.27,18.875,18.759,22.822,21.317
25,Portland,21.34,16.635,25.31,19.426,22.838,21.34
26,Washington,21.443,26.218,28.312,23.511,20.016,21.443
27,Milwaukee,21.68,21.029,18.96,20.434,23.293,21.68
28,Detroit,22.402,19.13,12.712,21.367,23.635,22.402
29,Boston,22.463,20.85,14.387,21.145,23.788,22.463
30,Indiana,22.575,19.771,20.47,21.444,23.491,22.575
