Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Charlotte,16.6,13.0,19.0,15.7,17.4,16.6
2,Memphis,17.0,13.7,11.0,17.8,16.0,17.0
3,Houston,17.4,22.0,21.0,16.9,18.0,17.4
4,Philadelphia,18.0,18.7,10.0,19.4,16.4,18.0
5,San Antonio,18.2,9.7,8.0,15.8,23.0,18.2
6,Okla City,18.4,16.0,20.0,19.7,17.5,18.4
7,LA Lakers,18.5,15.7,17.0,21.3,16.6,18.5
8,New York,18.6,20.3,25.0,16.7,22.2,18.6
9,LA Clippers,18.8,18.3,21.0,20.6,16.7,18.8
10,Denver,19.1,17.0,13.0,18.7,19.4,19.1
11,Golden State,19.3,24.3,27.0,17.0,20.5,19.3
11,Brooklyn,19.3,16.7,10.0,19.9,18.9,19.3
13,New Orleans,19.4,22.3,22.0,18.1,20.8,19.4
14,Orlando,19.6,20.7,15.0,17.9,21.7,19.6
15,Atlanta,19.8,20.0,22.0,21.5,18.8,19.8
16,Dallas,20.1,20.3,24.0,19.8,20.8,20.1
17,Sacramento,20.1,18.7,20.0,22.4,18.3,20.1
18,Minnesota,20.4,16.7,22.0,18.5,22.3,20.4
19,Phoenix,20.5,19.7,23.0,19.8,21.4,20.5
20,Utah,20.5,26.0,19.0,22.5,18.3,20.5
21,Miami,20.6,18.0,21.0,19.5,21.6,20.6
22,Chicago,21.1,25.7,35.0,21.0,21.1,21.1
23,Cleveland,21.3,19.3,24.0,22.1,20.1,21.3
24,Toronto,22.3,20.0,20.0,19.3,24.0,22.3
25,Boston,22.4,20.3,14.0,21.1,23.6,22.4
26,Milwaukee,22.7,22.0,21.0,21.4,24.3,22.7
27,Washington,22.9,27.0,30.0,25.7,21.1,22.9
28,Portland,23.0,18.0,26.0,21.0,24.6,23.0
29,Detroit,23.5,19.7,13.0,22.9,24.3,23.5
30,Indiana,24.1,20.7,21.0,23.4,24.7,24.1
