Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,52.3%,54.4%,62.5%,57.5%,48.5%,57.9%
2,San Antonio,54.8%,55.7%,63.0%,55.5%,53.4%,61.9%
3,Boston,55.7%,52.8%,48.7%,56.1%,55.3%,58.3%
4,Detroit,57.6%,60.9%,69.2%,59.2%,55.5%,59.0%
5,Minnesota,57.7%,53.0%,55.8%,56.8%,58.9%,58.9%
6,Miami,57.9%,57.7%,48.8%,57.3%,58.6%,59.2%
7,Cleveland,57.9%,48.1%,52.5%,57.8%,58.1%,56.8%
8,Orlando,58.0%,51.6%,44.9%,58.8%,57.1%,60.1%
9,Houston,58.8%,58.5%,63.2%,58.3%,59.3%,57.8%
10,Chicago,59.0%,57.6%,57.1%,61.9%,56.8%,60.8%
11,Dallas,59.0%,59.9%,63.0%,58.9%,59.1%,59.3%
12,LA Clippers,59.2%,53.5%,50.0%,59.7%,58.6%,60.1%
13,New York,59.3%,54.0%,61.3%,58.6%,60.6%,59.2%
14,Denver,59.4%,62.6%,58.7%,57.2%,61.4%,59.2%
15,Golden State,59.9%,58.3%,46.4%,55.5%,61.8%,58.9%
16,Milwaukee,61.0%,62.4%,57.1%,60.4%,61.8%,59.0%
17,Charlotte,61.2%,61.3%,66.7%,60.2%,62.0%,61.6%
18,Phoenix,61.3%,59.5%,61.5%,58.0%,65.4%,60.5%
19,Atlanta,61.3%,66.0%,68.9%,63.2%,60.1%,61.8%
20,Washington,61.4%,62.4%,58.0%,61.8%,61.1%,60.7%
21,LA Lakers,61.6%,59.4%,76.1%,64.7%,59.5%,59.5%
22,Portland,61.7%,60.7%,59.5%,59.0%,63.9%,60.4%
23,Toronto,61.8%,58.0%,54.0%,65.8%,59.8%,60.5%
24,Philadelphia,62.4%,61.5%,62.0%,61.0%,63.9%,62.9%
25,Memphis,62.7%,62.6%,59.1%,61.8%,64.1%,59.5%
26,Utah,62.7%,65.0%,78.0%,61.3%,64.1%,63.1%
27,Brooklyn,62.8%,59.3%,58.1%,67.0%,58.7%,62.2%
28,Indiana,65.1%,70.5%,55.6%,62.4%,67.4%,61.0%
29,Sacramento,66.2%,71.3%,82.5%,64.6%,67.3%,59.7%
30,New Orleans,67.9%,65.6%,74.5%,67.5%,68.4%,64.5%
