Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,New York,8.8,10.7,10.0,9.7,7.2,10.8
2,Charlotte,9.3,10.3,10.0,10.7,8.0,11.3
3,San Antonio,10.2,10.7,6.0,10.0,10.6,12.1
4,Memphis,10.6,6.3,4.0,10.7,10.4,11.6
4,Sacramento,10.6,9.7,11.0,10.0,11.0,10.0
6,Golden State,10.6,13.0,14.0,11.4,10.3,10.8
7,Okla City,10.8,12.0,12.0,10.9,10.7,11.6
8,Orlando,10.8,11.7,10.0,9.7,12.3,9.1
9,Philadelphia,10.9,6.3,3.0,11.3,10.6,11.5
9,LA Lakers,10.9,10.7,8.0,11.3,10.7,11.3
11,Brooklyn,11.2,6.7,10.0,11.7,10.7,10.1
12,Utah,11.4,10.7,11.0,12.9,9.9,11.7
13,Denver,11.5,12.7,17.0,11.9,11.1,11.6
14,Indiana,11.5,14.7,22.0,11.4,11.6,11.3
15,Houston,11.6,11.7,10.0,12.8,10.6,10.6
16,New Orleans,11.7,12.7,9.0,13.5,9.6,11.9
17,Cleveland,11.7,11.3,16.0,10.8,12.9,11.2
18,Milwaukee,11.8,8.7,11.0,12.2,11.3,10.7
19,LA Clippers,12.0,13.7,12.0,11.3,12.9,9.9
20,Phoenix,12.1,13.3,15.0,12.1,12.1,11.5
21,Portland,12.3,12.7,7.0,11.1,13.3,11.9
22,Toronto,12.3,12.3,16.0,13.0,12.0,11.5
23,Boston,12.4,12.3,12.0,12.0,12.8,10.9
24,Chicago,12.4,17.0,26.0,9.8,14.4,10.9
25,Minnesota,12.6,10.7,12.0,12.3,13.0,11.1
25,Detroit,12.6,14.7,11.0,13.0,12.1,10.5
27,Atlanta,12.8,11.0,10.0,12.3,13.0,10.4
28,Dallas,12.8,17.3,16.0,13.0,12.4,12.2
29,Washington,14.6,15.3,19.0,14.2,15.0,12.9
30,Miami,15.2,17.0,20.0,17.3,12.9,10.7
