Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Memphis,0.0,0.0,0.0,0.0,0.0,0.0
1,LA Lakers,0.0,0.0,0.0,0.0,0.0,0.0
1,Sacramento,0.0,0.0,0.0,0.0,0.0,0.0
1,Atlanta,0.0,0.0,0.0,0.0,0.0,0.0
1,Boston,0.0,0.0,0.0,0.0,0.0,0.0
1,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0
1,New York,0.0,0.0,0.0,0.0,0.0,0.0
1,Brooklyn,0.0,0.0,0.0,0.0,0.0,0.0
1,Toronto,0.0,0.0,0.0,0.0,0.0,0.0
10,Detroit,0.5,0.0,0.0,1.0,0.0,0.5
11,San Antonio,0.6,0.0,0.0,0.0,1.8,0.6
12,Golden State,0.6,0.0,0.0,1.8,0.0,0.6
13,Miami,0.6,0.0,0.0,1.3,0.0,0.6
14,Cleveland,0.7,0.0,0.0,0.0,1.7,0.7
15,New Orleans,0.8,0.0,0.0,1.6,0.0,0.8
16,LA Clippers,0.9,0.0,0.0,0.0,1.9,0.9
17,Phoenix,0.9,0.0,0.0,0.0,2.0,0.9
18,Orlando,0.9,5.0,0.0,0.0,2.1,0.9
19,Philadelphia,1.1,2.7,8.0,0.0,2.3,1.1
20,Denver,1.1,0.0,0.0,0.0,2.1,1.1
21,Charlotte,1.2,0.0,0.0,0.0,2.3,1.2
22,Portland,1.3,0.0,0.0,0.0,2.2,1.3
23,Milwaukee,1.4,5.7,17.0,2.4,0.0,1.4
24,Chicago,1.5,0.0,0.0,0.0,2.9,1.5
24,Washington,1.5,0.0,0.0,2.2,1.1,1.5
26,Indiana,1.8,0.0,0.0,4.0,0.0,1.8
27,Utah,2.0,6.7,0.0,3.8,0.0,2.0
27,Dallas,2.0,0.0,0.0,2.8,0.0,2.0
29,Houston,2.3,3.7,0.0,1.6,3.0,2.3
30,Okla City,2.5,0.0,0.0,2.9,2.2,2.5
