Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,42.8%,51.3%,39.3%,45.9%,40.7%,42.8%
2,New York,43.5%,41.9%,34.2%,43.1%,44.2%,43.5%
3,Boston,43.8%,44.2%,53.1%,44.8%,42.7%,43.8%
4,Detroit,44.2%,47.4%,48.2%,47.1%,40.8%,44.2%
5,San Antonio,45.1%,52.2%,46.0%,44.5%,46.4%,45.1%
6,LA Clippers,45.5%,47.2%,41.9%,44.4%,46.8%,45.5%
7,Utah,45.7%,45.0%,38.9%,42.5%,49.6%,45.7%
8,Miami,46.6%,50.6%,46.7%,47.0%,46.3%,46.6%
9,Houston,47.4%,48.0%,51.8%,49.8%,45.0%,47.4%
10,New Orleans,47.4%,46.1%,40.7%,48.4%,46.5%,47.4%
11,Cleveland,47.7%,48.6%,47.7%,50.0%,44.6%,47.7%
12,Minnesota,47.8%,49.5%,43.9%,50.9%,44.8%,47.8%
13,LA Lakers,48.0%,48.6%,55.6%,48.8%,47.5%,48.0%
14,Washington,48.5%,45.2%,48.6%,47.5%,49.2%,48.5%
15,Milwaukee,48.6%,43.3%,39.0%,48.7%,48.5%,48.6%
16,Memphis,49.3%,48.9%,54.2%,52.9%,44.8%,49.3%
17,Brooklyn,49.5%,45.7%,59.0%,51.0%,48.1%,49.5%
18,Atlanta,49.5%,54.6%,45.9%,53.6%,47.0%,49.5%
19,Toronto,49.5%,49.1%,49.1%,51.8%,48.1%,49.5%
20,Portland,49.7%,43.5%,37.4%,47.9%,51.0%,49.7%
21,Phoenix,49.8%,51.9%,47.8%,51.5%,47.8%,49.8%
22,Philadelphia,50.1%,51.3%,54.4%,49.2%,51.0%,50.1%
23,Golden State,50.4%,48.6%,40.9%,50.2%,50.5%,50.4%
24,Charlotte,50.6%,56.6%,47.2%,51.8%,49.6%,50.6%
25,Denver,50.8%,52.1%,49.5%,49.4%,52.0%,50.8%
26,Sacramento,51.1%,52.0%,48.2%,48.3%,53.4%,51.1%
27,Indiana,51.4%,54.2%,50.0%,50.6%,52.0%,51.4%
28,Chicago,51.9%,49.6%,46.2%,55.0%,49.3%,51.9%
29,Orlando,52.0%,49.5%,43.6%,51.5%,52.7%,52.0%
30,Dallas,53.5%,54.0%,60.9%,53.6%,53.2%,53.5%
