Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Indiana,29.0%,28.8%,32.5%,30.2%,28.1%,29.0%
2,Dallas,29.3%,28.4%,18.3%,29.6%,28.7%,29.3%
3,Orlando,30.7%,31.7%,41.6%,32.2%,28.8%,30.7%
4,Chicago,31.0%,30.7%,29.4%,27.6%,33.8%,31.0%
5,Toronto,31.1%,32.7%,32.7%,31.2%,31.0%,31.1%
6,Portland,31.5%,41.9%,41.5%,34.5%,29.3%,31.5%
7,Phoenix,32.2%,31.1%,31.9%,30.3%,34.4%,32.2%
8,Denver,32.3%,33.6%,38.5%,33.6%,31.2%,32.3%
9,Milwaukee,32.3%,38.3%,43.9%,33.5%,30.7%,32.3%
10,Sacramento,32.7%,33.0%,37.2%,33.8%,31.8%,32.7%
11,Golden State,32.8%,31.0%,37.8%,34.0%,32.3%,32.8%
12,Atlanta,33.4%,29.4%,37.8%,27.9%,36.7%,33.4%
13,Washington,33.8%,33.9%,30.0%,33.0%,34.3%,33.8%
14,Cleveland,33.9%,33.7%,30.3%,30.5%,38.5%,33.9%
15,Minnesota,34.4%,34.8%,36.8%,32.4%,36.2%,34.4%
16,Brooklyn,34.4%,38.9%,31.4%,32.8%,35.9%,34.4%
17,Philadelphia,34.4%,32.4%,36.8%,33.8%,35.1%,34.4%
18,Detroit,34.8%,34.7%,40.2%,32.9%,37.1%,34.8%
19,Charlotte,35.6%,32.1%,37.8%,34.3%,36.6%,35.6%
20,Boston,35.7%,37.3%,34.5%,36.1%,35.2%,35.7%
21,LA Lakers,35.9%,36.9%,31.0%,33.2%,37.8%,35.9%
22,Miami,36.1%,32.3%,33.6%,36.4%,35.8%,36.1%
23,Memphis,36.3%,38.1%,34.4%,31.7%,41.9%,36.3%
24,New Orleans,36.6%,35.8%,40.7%,36.7%,36.5%,36.6%
25,Houston,37.1%,31.9%,29.5%,35.0%,39.2%,37.1%
26,Utah,38.1%,36.9%,47.9%,40.3%,35.2%,38.1%
27,LA Clippers,38.4%,37.5%,41.9%,37.8%,39.1%,38.4%
28,San Antonio,38.7%,39.2%,47.6%,41.3%,33.5%,38.7%
29,Okla City,39.8%,33.8%,42.9%,35.2%,43.0%,39.8%
30,New York,40.3%,41.1%,43.2%,42.1%,37.2%,40.3%
