Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Lakers,20.9%,22.1%,24.8%,22.9%,19.5%,17.5%
2,Orlando,20.6%,17.5%,16.8%,20.3%,21.0%,18.2%
3,Brooklyn,20.2%,20.0%,22.0%,20.2%,20.3%,17.0%
4,Dallas,20.2%,21.3%,19.1%,21.1%,18.0%,16.6%
5,Cleveland,19.9%,19.3%,21.1%,19.2%,20.7%,16.8%
6,Detroit,19.8%,20.4%,22.0%,19.2%,20.5%,16.6%
7,Utah,19.6%,17.8%,17.8%,19.9%,19.4%,16.6%
8,Okla City,19.5%,17.0%,19.4%,19.8%,19.2%,16.5%
9,Indiana,19.4%,18.4%,15.6%,19.5%,19.4%,17.2%
10,Denver,19.4%,19.8%,20.6%,17.9%,20.9%,16.9%
11,San Antonio,19.3%,16.9%,20.9%,18.7%,20.5%,15.3%
12,Minnesota,19.1%,18.9%,22.0%,20.1%,18.0%,17.3%
13,Portland,19.1%,18.7%,18.9%,20.3%,18.1%,16.6%
14,Houston,19.1%,15.9%,15.7%,19.9%,18.3%,16.6%
15,New Orleans,18.8%,19.1%,20.9%,19.5%,18.1%,15.6%
16,Philadelphia,18.8%,18.4%,15.6%,19.8%,17.8%,16.7%
17,New York,18.8%,18.9%,21.5%,18.5%,19.3%,17.5%
18,Charlotte,18.8%,16.3%,17.3%,19.4%,18.2%,16.0%
19,Memphis,18.5%,18.6%,19.1%,18.4%,18.8%,16.8%
20,Miami,17.9%,16.8%,16.4%,18.3%,17.6%,15.3%
21,LA Clippers,17.9%,17.4%,14.6%,18.0%,17.8%,16.1%
22,Toronto,17.9%,17.3%,18.3%,17.5%,18.1%,15.5%
23,Atlanta,17.8%,16.2%,13.5%,18.5%,17.4%,16.1%
24,Chicago,17.6%,15.4%,13.5%,18.2%,17.1%,14.4%
25,Milwaukee,17.5%,15.5%,13.2%,17.0%,18.2%,17.0%
26,Boston,17.4%,17.5%,20.5%,16.9%,17.8%,16.1%
27,Phoenix,17.2%,14.8%,9.4%,18.0%,16.4%,16.7%
28,Sacramento,17.2%,14.7%,10.2%,17.0%,17.4%,16.3%
29,Golden State,16.8%,14.8%,13.3%,16.0%,17.1%,16.4%
30,Washington,15.3%,15.5%,13.5%,14.7%,15.8%,15.8%
