Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,129.4,123.0,120.0,127.1,131.1,131.2
2,Boston,132.7,128.3,124.0,135.6,130.1,129.8
3,Detroit,135.1,132.7,143.0,135.8,134.3,137.7
4,Orlando,136.6,132.0,121.0,133.8,140.3,128.1
5,Houston,137.5,130.7,124.0,134.8,139.7,132.9
6,San Antonio,138.6,140.7,156.0,137.6,140.6,144.7
7,Denver,138.6,146.3,143.0,134.6,142.7,144.7
8,Minnesota,140.4,131.7,134.0,137.1,144.1,133.3
9,Golden State,140.6,139.0,140.0,127.4,146.1,135.4
10,Toronto,140.7,132.0,136.0,139.6,141.2,141.1
11,Phoenix,140.8,137.0,134.0,132.8,150.0,143.9
12,Dallas,141.7,148.7,140.0,142.6,139.6,142.4
13,New York,142.1,146.7,134.0,139.6,146.6,135.9
14,Atlanta,142.2,154.0,169.0,142.5,142.0,147.7
15,LA Lakers,142.3,134.0,159.0,145.7,140.0,138.9
16,Philadelphia,142.8,141.3,144.0,140.4,145.6,144.1
17,Cleveland,143.2,130.0,137.0,140.3,146.9,137.6
18,LA Clippers,144.4,148.0,161.0,143.3,145.7,133.8
19,Memphis,144.8,128.7,120.0,140.3,150.4,143.9
20,Milwaukee,145.5,146.0,153.0,147.3,143.1,139.4
21,Chicago,148.8,158.3,148.0,145.3,151.4,148.2
22,Miami,148.8,142.7,120.0,146.8,151.1,137.0
23,Charlotte,149.0,143.0,159.0,141.0,156.0,141.0
24,Indiana,149.1,153.3,146.0,147.6,150.4,139.2
25,Portland,149.5,160.0,158.0,144.6,153.9,140.0
26,New Orleans,150.2,158.0,160.0,149.4,151.1,147.9
27,Brooklyn,150.4,130.3,138.0,154.1,146.7,139.3
28,Sacramento,154.2,158.3,179.0,154.0,154.3,142.3
29,Utah,154.8,174.7,171.0,161.7,147.9,150.9
30,Washington,158.4,158.7,148.0,161.8,155.9,148.9
