Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,184.6,174.0,175.0,181.3,187.1,185.5
2,San Antonio,187.3,194.0,202.0,185.0,191.8,198.4
3,Orlando,187.5,186.0,174.0,183.1,193.1,179.1
4,Detroit,188.1,184.0,184.0,190.4,185.6,189.1
5,Houston,188.2,185.0,175.0,192.3,184.6,184.0
6,Denver,188.3,199.3,201.0,186.0,190.6,194.5
7,Boston,189.2,178.7,170.0,191.7,187.0,182.1
7,LA Lakers,189.2,179.7,198.0,192.0,187.3,190.5
9,Phoenix,192.1,186.0,188.0,183.3,202.3,195.1
10,New York,192.5,205.7,195.0,188.9,199.0,185.7
11,Toronto,193.2,183.3,183.0,194.8,192.4,195.0
12,Golden State,193.3,193.3,202.0,181.0,198.4,187.9
13,Minnesota,193.6,185.0,183.0,190.3,197.4,183.9
14,Philadelphia,195.1,189.3,195.0,192.1,198.6,197.4
15,Charlotte,195.2,192.3,206.0,186.9,202.5,194.5
16,LA Clippers,196.0,205.3,218.0,190.8,202.0,182.9
17,Atlanta,196.1,204.3,217.0,195.8,196.2,200.0
18,Memphis,198.9,178.0,160.0,194.4,204.7,197.0
19,Cleveland,200.3,184.3,197.0,197.4,204.0,189.3
20,Chicago,202.9,226.3,234.0,192.8,210.5,202.7
21,Portland,203.1,216.7,202.0,195.6,209.6,192.9
22,Milwaukee,203.4,201.0,213.0,201.9,205.4,191.8
23,Dallas,203.7,215.7,204.0,206.1,198.4,195.8
24,New Orleans,207.1,209.3,206.0,210.6,203.1,202.0
25,Utah,207.6,232.3,224.0,215.3,200.0,203.6
26,Miami,208.1,207.0,190.0,208.3,208.0,188.1
27,Indiana,208.3,212.0,209.0,206.0,210.3,192.2
28,Brooklyn,208.6,181.7,194.0,209.7,207.6,191.8
29,Sacramento,208.8,213.3,242.0,209.1,208.4,192.4
30,Washington,217.7,218.0,209.0,223.3,213.5,206.0
