Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,San Antonio,160.9,165.7,172.0,158.5,165.8,170.4
2,Okla City,160.9,155.0,158.0,158.7,162.5,161.5
3,LA Lakers,162.1,154.0,165.0,165.2,160.1,163.5
4,Denver,162.6,174.7,161.0,161.3,163.8,165.9
5,Houston,163.3,163.0,164.0,168.0,158.6,160.5
6,Orlando,164.0,164.3,154.0,159.0,170.4,156.4
7,Boston,164.9,159.3,163.0,166.4,163.5,158.6
8,Detroit,165.2,161.0,153.0,168.8,161.1,164.6
9,Phoenix,165.3,165.3,164.0,159.3,173.0,167.8
10,New York,165.4,178.3,172.0,161.8,171.8,161.1
11,Toronto,166.4,158.0,150.0,166.5,166.3,169.1
12,Charlotte,166.4,164.7,174.0,159.4,172.5,167.7
13,Minnesota,167.4,159.3,170.0,164.1,170.8,159.4
14,Golden State,168.1,177.7,189.0,162.5,170.9,162.5
15,Philadelphia,168.5,162.3,165.0,166.0,171.3,169.2
16,LA Clippers,168.7,177.3,186.0,163.5,174.7,157.3
17,Atlanta,169.6,176.0,183.0,169.7,169.5,171.7
18,Memphis,171.9,154.3,136.0,169.7,174.9,170.0
19,Cleveland,172.2,161.0,157.0,169.4,176.3,163.6
20,Portland,175.1,171.0,161.0,170.3,178.8,166.7
21,Milwaukee,176.9,175.0,183.0,175.0,179.4,165.4
22,Brooklyn,177.7,155.3,153.0,178.3,177.3,164.7
23,Utah,178.0,197.7,182.0,182.8,172.6,173.9
24,Miami,178.1,167.3,163.0,179.0,177.3,161.7
25,Chicago,178.3,200.3,210.0,171.3,184.4,173.8
26,Dallas,178.3,178.3,168.0,180.2,173.8,168.7
27,New Orleans,178.5,173.0,171.0,182.8,174.3,173.3
28,Sacramento,179.0,179.3,200.0,180.6,177.8,165.4
29,Indiana,182.1,179.7,179.0,180.4,183.3,167.5
30,Washington,188.7,187.0,196.0,193.3,185.7,177.5
