Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,38.2,43.3,34.0,38.9,37.8,41.8
2,Boston,41.0,41.3,42.0,41.3,40.8,45.7
3,San Antonio,41.3,46.7,46.0,40.8,42.4,50.5
4,Detroit,44.0,47.3,50.0,48.3,39.1,46.2
5,New York,44.6,44.7,30.0,42.9,47.6,48.6
6,Houston,46.7,43.3,40.0,49.7,43.7,48.7
7,Minnesota,47.0,46.7,48.0,49.0,45.0,47.2
8,LA Clippers,47.3,51.3,50.0,46.5,48.3,46.8
9,Cleveland,48.2,44.0,46.0,48.6,47.7,46.8
10,Philadelphia,48.7,48.7,48.0,44.3,53.7,50.5
10,LA Lakers,48.7,46.0,56.0,50.7,47.3,49.4
12,Denver,49.3,53.3,50.0,44.3,53.8,51.1
13,Milwaukee,49.9,44.7,42.0,49.8,50.0,46.6
14,Toronto,50.5,49.3,44.0,52.3,49.4,49.8
15,Utah,50.7,59.3,50.0,50.0,51.4,52.4
16,Memphis,51.0,42.7,40.0,54.2,46.9,48.2
17,Phoenix,51.3,56.0,52.0,49.8,53.1,49.3
18,Golden State,51.3,52.7,46.0,46.3,53.8,46.1
19,Portland,51.4,48.0,42.0,45.7,55.8,48.5
20,Orlando,51.5,48.0,40.0,48.7,55.1,45.4
21,Charlotte,51.9,52.0,40.0,51.7,52.0,47.9
22,Atlanta,51.9,62.7,60.0,56.3,49.2,50.5
22,Miami,51.9,51.3,50.0,52.5,51.3,48.6
24,New Orleans,52.4,51.3,40.0,54.0,50.8,52.3
25,Brooklyn,53.7,39.3,48.0,57.1,50.8,49.6
26,Dallas,55.2,54.7,64.0,54.7,56.4,52.7
27,Sacramento,55.3,55.3,56.0,53.4,56.7,47.2
28,Chicago,55.3,55.3,56.0,56.0,54.8,54.0
28,Washington,55.3,53.3,60.0,57.0,54.2,51.3
30,Indiana,55.5,56.7,50.0,54.0,56.7,50.7
