Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,105.9,101.3,99.0,104.6,107.0,107.3
2,Boston,108.5,104.0,99.0,110.7,106.6,106.3
3,Detroit,112.1,109.7,112.0,114.1,109.9,113.2
4,San Antonio,112.3,112.3,126.0,111.1,114.6,116.7
5,Houston,112.5,111.0,104.0,111.2,113.7,109.3
6,Denver,113.1,120.0,118.0,109.9,116.3,116.1
7,Orlando,113.1,110.3,101.0,109.7,117.6,105.5
8,Phoenix,114.1,110.7,110.0,108.3,120.7,116.6
8,Minnesota,114.1,109.3,109.0,111.0,117.6,108.8
10,Golden State,114.2,112.3,110.0,103.6,118.6,110.0
11,New York,114.9,119.3,111.0,112.4,119.4,111.3
12,Toronto,114.9,110.3,112.0,114.6,115.1,115.2
13,LA Lakers,115.2,108.3,126.0,118.8,112.8,111.9
14,Atlanta,115.7,125.7,135.0,116.3,115.3,119.4
15,Cleveland,116.1,106.7,114.0,113.7,119.1,111.9
16,Philadelphia,116.1,114.3,114.0,114.3,118.3,115.8
17,Dallas,116.9,122.0,113.0,117.8,115.0,115.3
18,LA Clippers,117.1,120.0,129.0,116.0,118.4,108.2
19,Memphis,117.8,105.0,96.0,115.6,120.6,116.9
20,Milwaukee,119.0,120.0,123.0,120.4,117.1,112.9
21,Miami,119.8,116.3,96.0,117.5,122.4,110.6
22,Charlotte,120.2,115.3,127.0,113.6,126.0,114.2
23,Brooklyn,121.3,108.0,113.0,122.7,119.9,112.2
24,Chicago,121.9,132.7,121.0,117.3,125.3,119.2
25,New Orleans,122.1,125.0,125.0,121.5,122.7,119.3
26,Portland,122.5,129.0,122.0,119.3,125.3,113.9
27,Indiana,123.1,124.7,118.0,122.0,124.0,114.5
28,Sacramento,124.4,124.3,137.0,125.4,123.7,115.3
29,Utah,124.9,139.7,140.0,129.3,120.4,121.2
30,Washington,128.9,128.0,120.0,131.8,126.8,120.4
