Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Lakers,74.0,71.3,72.0,73.2,74.6,78.6
2,Orlando,74.4,75.7,73.0,73.4,75.6,73.6
3,San Antonio,75.0,81.7,76.0,73.9,77.2,81.8
3,Charlotte,75.0,77.0,79.0,73.3,76.5,80.3
5,Denver,75.1,81.3,73.0,76.1,74.1,78.3
6,Houston,75.9,76.3,80.0,81.0,70.9,74.7
7,Detroit,76.0,74.3,72.0,76.3,75.7,75.9
8,Phoenix,77.5,75.3,69.0,74.3,81.6,78.5
8,Toronto,77.5,71.0,66.0,77.8,77.3,79.8
10,New York,77.6,86.3,84.0,76.4,79.6,74.4
11,Okla City,78.5,72.3,76.0,76.7,79.7,78.2
12,LA Clippers,78.9,85.3,89.0,74.8,83.6,74.7
13,Philadelphia,79.0,75.0,81.0,77.9,80.3,81.6
14,Minnesota,79.6,74.0,81.0,79.3,80.0,75.0
15,Portland,79.8,76.7,67.0,76.3,82.4,79.1
16,Golden State,79.9,88.0,93.0,80.0,79.8,77.9
17,Atlanta,80.4,78.7,82.0,79.5,80.9,80.6
18,Boston,80.7,75.7,81.0,81.0,80.4,75.8
19,Memphis,81.2,73.0,64.0,78.9,84.1,80.0
20,Utah,82.2,89.0,74.0,84.5,79.6,82.3
21,Chicago,82.5,97.7,102.0,79.3,85.3,83.4
22,Cleveland,83.6,76.0,73.0,82.7,84.9,77.3
23,Sacramento,84.3,89.0,105.0,83.7,84.8,77.1
24,Milwaukee,84.4,81.0,90.0,81.4,88.3,78.9
25,New Orleans,84.9,81.7,83.0,89.1,80.8,82.7
26,Indiana,85.3,86.3,87.0,84.0,86.3,77.8
27,Dallas,86.2,88.7,78.0,87.4,83.4,80.4
28,Brooklyn,86.3,70.7,72.0,87.0,85.8,79.6
29,Miami,87.9,86.3,82.0,90.8,85.1,77.5
30,Washington,89.0,89.3,92.0,91.5,87.3,85.5
