Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Charlotte,7.1,4.0,4.0,7.0,7.3,8.3
2,LA Lakers,7.5,7.7,6.0,6.2,8.3,8.6
3,Chicago,8.1,11.3,22.0,7.7,8.4,8.5
4,LA Clippers,8.1,8.7,6.0,7.0,9.4,7.5
5,Atlanta,8.2,7.3,5.0,6.8,9.0,8.4
6,Toronto,8.2,8.3,6.0,8.4,8.1,8.9
7,Sacramento,8.4,8.3,14.0,8.0,8.7,7.8
8,Denver,8.6,7.3,14.0,8.4,8.7,7.3
8,New York,8.6,13.7,11.0,8.6,8.6,8.0
10,Golden State,8.6,7.7,10.0,8.0,8.8,8.4
11,Memphis,8.6,9.7,8.0,8.3,9.0,9.5
12,Washington,8.6,10.3,11.0,9.3,8.1,8.2
13,Miami,8.8,10.7,8.0,8.3,9.4,6.6
14,San Antonio,9.1,8.3,7.0,8.4,10.4,7.6
15,Orlando,9.3,7.7,10.0,8.3,10.4,8.8
16,Utah,9.4,9.7,12.0,10.0,8.7,8.5
17,Portland,9.4,13.0,6.0,8.1,10.5,8.6
17,Minnesota,9.4,9.0,6.0,9.1,9.7,8.1
17,Phoenix,9.4,9.7,11.0,10.1,8.6,7.0
20,Philadelphia,9.5,8.7,9.0,9.6,9.3,7.8
21,Detroit,10.0,10.0,6.0,10.9,9.0,9.1
22,Indiana,11.1,13.0,15.0,9.7,12.4,8.5
23,Milwaukee,11.5,7.0,8.0,8.3,15.6,7.4
24,Okla City,11.6,10.3,10.0,10.7,12.3,9.3
25,Cleveland,11.7,10.7,9.0,13.0,10.0,8.5
26,New Orleans,11.8,9.3,5.0,14.8,8.4,8.3
27,Boston,12.1,9.0,7.0,11.1,13.0,8.7
28,Brooklyn,12.7,8.7,7.0,9.6,15.9,8.8
29,Houston,12.8,14.0,12.0,16.8,9.3,9.2
30,Dallas,12.8,13.3,15.0,14.3,9.6,8.0
