Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,San Antonio,0.6,0.0,0.0,0.6,0.6,0.4
2,New Orleans,0.3,0.0,0.0,0.5,0.0,0.2
2,Philadelphia,0.3,0.7,2.0,0.3,0.3,0.2
4,Orlando,0.3,0.0,0.0,0.2,0.3,0.4
5,Minnesota,0.2,0.0,0.0,0.0,0.4,0.4
6,Houston,0.2,0.7,2.0,0.0,0.3,0.5
7,Indiana,0.1,0.0,0.0,0.0,0.3,0.3
8,Memphis,0.1,0.3,1.0,0.2,0.0,0.4
8,Dallas,0.1,0.0,0.0,0.2,0.0,0.3
10,Washington,0.1,0.0,0.0,0.0,0.1,0.3
10,Utah,0.1,0.0,0.0,0.0,0.1,0.3
10,Denver,0.1,0.3,1.0,0.0,0.1,0.3
13,LA Lakers,0.1,0.0,0.0,0.0,0.1,0.3
13,Boston,0.1,0.0,0.0,0.0,0.1,0.2
13,Detroit,0.1,0.0,0.0,0.1,0.0,0.6
13,LA Clippers,0.1,0.0,0.0,0.0,0.1,0.3
17,Sacramento,0.1,0.0,0.0,0.1,0.0,0.3
17,Atlanta,0.1,0.0,0.0,0.0,0.1,0.4
17,Milwaukee,0.1,0.0,0.0,0.1,0.0,0.3
17,Cleveland,0.1,0.3,1.0,0.1,0.0,0.3
21,Charlotte,0.0,0.0,0.0,0.0,0.0,0.3
21,Chicago,0.0,0.0,0.0,0.0,0.0,0.2
21,Portland,0.0,0.0,0.0,0.0,0.0,0.3
21,Miami,0.0,0.0,0.0,0.0,0.0,0.3
21,Okla City,0.0,0.0,0.0,0.0,0.0,0.4
21,Golden State,0.0,0.0,0.0,0.0,0.0,0.3
21,New York,0.0,0.0,0.0,0.0,0.0,0.3
21,Brooklyn,0.0,0.0,0.0,0.0,0.0,0.5
21,Phoenix,0.0,0.0,0.0,0.0,0.0,0.2
21,Toronto,0.0,0.0,0.0,0.0,0.0,0.3
