Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Dallas,11.4,11.0,7.0,11.6,11.0,12.9
2,Orlando,11.6,11.7,14.0,11.8,11.3,11.4
3,Toronto,11.9,12.0,12.0,11.8,11.9,13.2
3,Indiana,11.9,11.7,13.0,12.3,11.6,12.6
5,Denver,12.1,13.3,14.0,12.3,12.0,13.8
6,Phoenix,12.3,12.0,12.0,11.0,13.9,14.2
7,Golden State,12.6,12.3,16.0,12.2,12.8,12.9
8,Chicago,12.7,13.3,14.0,11.1,14.1,13.6
9,Milwaukee,12.8,15.3,18.0,13.4,12.0,13.8
10,Portland,12.9,17.3,17.0,13.7,12.2,12.7
10,Atlanta,12.9,12.3,17.0,10.8,14.1,14.2
12,Boston,12.9,13.7,13.0,13.4,12.5,12.5
13,Detroit,13.0,12.7,15.0,12.5,13.6,13.5
14,Cleveland,13.1,12.3,11.0,11.5,15.3,13.5
15,Minnesota,13.1,12.3,14.0,12.0,14.1,12.7
16,Philadelphia,13.3,12.3,14.0,12.9,13.9,14.2
17,Sacramento,13.6,13.7,17.0,14.1,13.1,14.5
18,Brooklyn,13.8,14.0,11.0,13.4,14.1,12.9
18,LA Lakers,13.8,13.3,13.0,13.2,14.2,13.5
20,Houston,13.9,11.7,11.0,13.0,14.9,12.6
21,Okla City,14.1,12.0,16.0,12.3,15.4,13.3
22,Memphis,14.3,13.3,11.0,12.2,16.9,14.1
23,Charlotte,14.3,12.3,16.0,13.0,15.4,14.2
24,Miami,14.3,11.3,12.0,14.3,14.4,13.9
25,San Antonio,14.5,14.7,20.0,15.3,12.8,14.4
26,Washington,14.6,14.7,14.0,14.5,14.7,14.3
27,New Orleans,14.9,14.7,16.0,14.9,14.9,14.6
28,LA Clippers,15.0,15.0,18.0,14.6,15.4,12.8
29,New York,15.4,16.3,16.0,15.8,14.8,13.0
30,Utah,16.0,17.7,23.0,17.6,14.1,14.9
