Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Charlotte,46.2,49.3,47.0,45.9,46.5,53.5
2,LA Lakers,46.9,45.7,39.0,46.3,47.3,51.6
3,San Antonio,48.7,53.3,46.0,47.4,51.2,53.8
4,Denver,49.8,55.7,52.0,51.4,48.4,49.8
5,New York,50.4,59.0,61.0,49.3,52.4,49.8
6,Houston,50.8,53.3,52.0,56.7,44.9,51.1
7,Orlando,50.9,54.0,53.0,49.3,52.9,50.9
8,Phoenix,51.3,49.7,51.0,50.6,52.3,51.2
9,LA Clippers,51.6,57.3,57.0,47.5,56.3,49.2
10,Toronto,51.8,48.0,40.0,52.7,51.2,53.9
11,Utah,51.9,54.0,38.0,51.6,52.1,52.7
12,Philadelphia,52.3,48.0,51.0,51.8,53.0,53.3
13,Portland,52.6,47.0,38.0,51.0,53.8,52.9
14,Detroit,53.1,51.3,41.0,54.6,51.3,51.4
15,Golden State,53.2,58.3,62.0,55.0,52.3,52.5
16,Minnesota,53.4,53.0,56.0,53.1,53.6,50.6
17,Atlanta,53.9,50.3,48.0,53.3,54.2,52.3
18,Memphis,54.2,49.3,40.0,54.1,54.3,53.1
19,Sacramento,54.6,55.0,63.0,55.1,54.1,50.1
20,Okla City,54.6,48.3,46.0,54.1,55.0,54.2
21,Chicago,55.0,70.0,67.0,50.3,59.1,54.5
22,Boston,56.1,49.3,50.0,55.4,56.9,52.3
23,Cleveland,56.6,51.3,48.0,56.2,57.1,51.7
24,New Orleans,56.7,50.0,53.0,61.3,52.1,54.1
25,Brooklyn,57.5,47.3,48.0,55.6,59.3,52.5
26,Milwaukee,57.9,55.0,60.0,54.6,62.3,52.4
27,Washington,59.1,57.3,56.0,61.5,57.4,57.1
28,Miami,59.1,62.0,56.0,61.5,56.8,51.1
29,Indiana,59.2,58.0,59.0,58.4,59.8,53.1
30,Dallas,61.5,62.3,53.0,62.6,58.8,53.4
