Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,18.1,22.7,28.0,19.6,17.0,18.1
2,Detroit,17.6,18.3,19.0,17.5,17.7,17.6
3,Phoenix,16.9,19.7,22.0,16.8,17.1,16.9
4,Portland,16.9,16.0,14.0,18.0,16.0,16.9
5,Golden State,16.6,16.3,21.0,16.5,16.7,16.6
6,Cleveland,16.5,13.7,13.0,15.8,17.4,16.5
7,LA Lakers,16.4,18.3,18.0,16.8,16.1,16.4
8,Atlanta,16.4,14.3,11.0,16.3,16.4,16.4
9,New Orleans,16.2,19.3,20.0,17.4,15.0,16.2
9,Minnesota,16.2,21.7,28.0,16.5,15.9,16.2
11,Toronto,16.1,18.3,18.0,15.8,16.3,16.1
12,Miami,15.7,19.3,18.0,16.4,15.0,15.7
13,New York,15.4,14.3,18.0,16.4,13.6,15.4
14,Orlando,15.1,18.0,21.0,15.0,15.1,15.1
15,San Antonio,15.0,14.0,16.0,14.9,15.2,15.0
16,Boston,14.8,14.0,14.0,15.1,14.5,14.8
17,Milwaukee,14.6,16.3,14.0,14.8,14.4,14.6
18,Sacramento,14.5,13.0,8.0,16.0,13.3,14.5
19,Memphis,14.4,15.7,17.0,13.9,15.1,14.4
20,Dallas,14.3,13.0,13.0,14.1,14.8,14.3
21,Utah,14.1,16.0,14.0,14.4,13.9,14.1
22,Brooklyn,14.1,15.0,13.0,14.0,14.1,14.1
23,Indiana,13.8,14.7,14.0,14.1,13.6,13.8
24,LA Clippers,13.8,8.7,11.0,14.3,13.3,13.8
25,Philadelphia,13.7,13.0,14.0,12.6,15.0,13.7
26,Houston,13.6,11.3,14.0,14.0,13.1,13.6
27,Charlotte,13.4,15.7,16.0,12.0,14.6,13.4
28,Denver,12.9,11.7,14.0,13.4,12.4,12.9
29,Washington,12.3,13.3,15.0,13.0,11.9,12.3
30,Chicago,12.1,11.3,10.0,11.3,12.9,12.1
