Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,New Orleans,52.9%,51.1%,62.7%,52.7%,53.2%,55.7%
2,Miami,53.5%,52.9%,48.4%,52.2%,55.1%,56.8%
3,Utah,54.0%,54.3%,61.9%,52.4%,55.7%,55.4%
4,New York,54.2%,56.2%,48.2%,52.7%,56.7%,59.0%
5,LA Lakers,55.6%,54.8%,51.1%,55.3%,55.9%,57.3%
6,Houston,56.0%,57.1%,51.9%,58.1%,54.1%,60.1%
7,Memphis,56.2%,54.0%,58.8%,60.4%,50.7%,57.0%
8,Okla City,56.4%,63.4%,67.4%,57.8%,55.4%,55.1%
9,Boston,56.5%,55.0%,53.7%,56.2%,56.7%,58.9%
10,LA Clippers,56.8%,62.3%,63.8%,57.1%,56.6%,57.5%
11,Detroit,57.2%,56.3%,49.4%,58.6%,55.6%,58.2%
12,Sacramento,57.4%,52.6%,45.5%,57.2%,57.5%,56.6%
13,Denver,57.6%,58.0%,65.3%,55.9%,59.4%,58.7%
14,Toronto,57.9%,54.8%,59.8%,58.1%,57.8%,57.3%
15,Atlanta,58.1%,62.7%,56.0%,62.9%,55.3%,58.1%
16,San Antonio,58.4%,60.8%,57.5%,55.4%,64.4%,57.5%
17,Philadelphia,58.5%,60.5%,60.9%,59.5%,57.3%,56.7%
18,Milwaukee,58.5%,52.2%,45.4%,58.5%,58.5%,56.9%
19,Phoenix,58.5%,59.6%,57.7%,61.2%,55.5%,57.4%
20,Brooklyn,58.9%,51.5%,44.0%,57.8%,60.0%,57.6%
21,Washington,59.1%,57.6%,59.6%,60.1%,58.4%,57.8%
22,Indiana,59.3%,61.0%,57.9%,58.1%,60.5%,59.9%
23,Minnesota,59.6%,64.5%,63.6%,63.1%,55.6%,58.9%
24,Golden State,60.3%,63.6%,63.5%,59.1%,60.8%,59.0%
25,Cleveland,60.5%,65.8%,73.3%,65.0%,55.2%,58.6%
26,Charlotte,61.2%,67.2%,55.3%,61.4%,61.0%,55.1%
27,Portland,61.2%,57.4%,49.0%,60.5%,61.9%,60.2%
28,Dallas,62.5%,56.1%,54.8%,62.2%,63.0%,61.5%
29,Chicago,62.5%,59.7%,60.7%,65.0%,60.7%,58.3%
30,Orlando,63.6%,65.5%,59.6%,60.8%,67.0%,61.6%
