Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,0.063,0.0,0.0,0.0,0.111,0.208
2,Detroit,0.133,0.0,0.0,0.125,0.143,0.477
3,Denver,0.214,0.333,0.0,0.143,0.286,0.406
4,Houston,0.231,0.0,0.0,0.167,0.286,0.382
5,San Antonio,0.267,0.0,0.0,0.2,0.4,0.585
5,LA Lakers,0.267,0.0,0.0,0.333,0.222,0.414
7,Minnesota,0.333,0.333,0.0,0.375,0.286,0.402
7,Toronto,0.333,0.0,0.0,0.4,0.3,0.634
9,New York,0.357,0.333,0.0,0.111,0.8,0.39
10,Cleveland,0.375,0.333,1.0,0.333,0.429,0.242
11,Phoenix,0.4,0.333,0.0,0.25,0.571,0.561
11,Philadelphia,0.4,0.333,0.0,0.375,0.429,0.707
11,Miami,0.4,0.333,0.0,0.125,0.714,0.557
14,Chicago,0.429,0.333,0.0,0.167,0.625,0.53
15,Orlando,0.438,0.333,0.0,0.333,0.571,0.511
15,Atlanta,0.438,0.667,1.0,0.667,0.3,0.524
17,Boston,0.467,0.0,0.0,0.429,0.5,0.28
18,Golden State,0.471,0.667,1.0,0.0,0.667,0.432
19,Milwaukee,0.5,1.0,1.0,0.444,0.571,0.432
20,Portland,0.6,1.0,1.0,0.571,0.625,0.561
21,Utah,0.643,0.667,1.0,0.429,0.857,0.793
22,Memphis,0.688,0.667,0.0,0.556,0.857,0.443
23,LA Clippers,0.733,1.0,1.0,0.625,0.857,0.405
23,Charlotte,0.733,1.0,1.0,0.571,0.875,0.768
25,Dallas,0.75,0.667,1.0,0.727,0.8,0.524
26,Sacramento,0.813,1.0,1.0,0.714,0.889,0.518
27,Brooklyn,0.857,0.667,1.0,1.0,0.714,0.683
28,New Orleans,0.867,1.0,1.0,0.875,0.857,0.744
28,Indiana,0.867,0.667,0.0,0.714,1.0,0.381
30,Washington,0.929,1.0,1.0,1.0,0.875,0.781
