Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Detroit,54.6%,54.3%,58.3%,52.4%,57.2%,51.7%
2,Toronto,53.6%,60.6%,56.2%,50.0%,55.4%,53.8%
3,Sacramento,53.3%,55.7%,54.2%,48.2%,57.2%,52.6%
4,LA Lakers,52.7%,52.0%,55.7%,54.3%,51.6%,48.3%
5,Denver,52.6%,49.1%,56.0%,53.9%,51.3%,54.6%
6,Houston,51.5%,55.0%,56.1%,51.2%,51.8%,52.1%
7,Dallas,51.1%,44.6%,34.2%,49.8%,54.3%,51.7%
8,New Orleans,50.8%,58.3%,62.7%,52.7%,48.5%,52.1%
9,Atlanta,50.1%,48.1%,46.0%,46.4%,52.2%,50.6%
10,Miami,50.1%,45.9%,47.3%,51.1%,48.8%,48.4%
11,Washington,50.0%,49.5%,53.2%,51.6%,48.8%,48.7%
12,San Antonio,49.8%,48.8%,45.9%,47.1%,55.3%,48.6%
13,Orlando,49.6%,48.5%,41.9%,49.5%,49.7%,51.5%
14,Okla City,49.5%,52.3%,54.9%,47.9%,50.7%,50.2%
15,Minnesota,48.6%,51.1%,48.3%,49.8%,47.4%,45.9%
16,Indiana,48.4%,44.6%,47.2%,48.2%,48.6%,51.1%
17,Portland,48.3%,52.7%,52.9%,47.8%,48.7%,49.9%
18,Milwaukee,48.2%,44.4%,54.4%,48.6%,47.8%,48.0%
19,Chicago,47.7%,42.1%,41.0%,48.2%,47.2%,47.2%
20,Philadelphia,47.0%,45.8%,39.0%,47.5%,46.4%,49.2%
21,Boston,46.8%,42.2%,31.9%,47.5%,46.0%,41.2%
22,LA Clippers,46.7%,42.2%,43.6%,46.7%,46.7%,51.7%
23,Memphis,46.5%,50.3%,48.2%,44.1%,49.7%,50.8%
24,Phoenix,45.8%,55.5%,52.0%,46.9%,44.5%,47.3%
25,Utah,45.7%,46.2%,55.6%,42.4%,49.9%,47.1%
26,Charlotte,45.3%,48.4%,50.8%,44.2%,46.2%,48.2%
27,New York,44.6%,49.2%,51.3%,42.4%,48.9%,52.9%
28,Cleveland,44.0%,47.3%,46.2%,45.8%,41.9%,46.6%
29,Brooklyn,43.3%,44.2%,38.4%,44.2%,42.3%,45.8%
30,Golden State,40.1%,39.6%,43.8%,42.5%,39.1%,44.5%
