Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Orlando,21.5%,20.1%,16.3%,22.2%,20.5%,16.9%
2,Indiana,20.0%,21.1%,15.0%,19.3%,20.6%,15.0%
3,Utah,19.9%,16.1%,13.5%,20.1%,19.5%,15.5%
4,Dallas,19.5%,20.6%,22.5%,20.5%,17.0%,15.6%
5,LA Lakers,19.5%,21.0%,20.7%,19.9%,19.1%,16.1%
6,Brooklyn,18.8%,18.1%,19.2%,19.0%,18.7%,15.5%
7,Memphis,18.6%,16.0%,14.6%,19.7%,17.2%,15.1%
8,Denver,18.2%,19.7%,17.6%,17.5%,18.8%,15.1%
9,Portland,18.1%,17.6%,17.4%,19.7%,16.8%,15.2%
10,Houston,17.9%,17.5%,20.2%,18.4%,17.5%,14.9%
11,Golden State,17.7%,15.3%,15.6%,14.9%,19.0%,15.0%
12,Philadelphia,17.7%,16.8%,17.1%,18.4%,17.0%,16.0%
13,Charlotte,17.7%,15.2%,16.1%,16.4%,18.7%,14.7%
14,LA Clippers,17.4%,21.1%,14.9%,15.3%,20.0%,15.1%
15,Okla City,17.3%,14.9%,18.6%,16.7%,17.8%,14.8%
16,Detroit,17.3%,15.8%,16.7%,17.7%,16.7%,15.3%
17,New Orleans,17.3%,17.4%,19.5%,17.1%,17.4%,15.1%
18,Minnesota,17.0%,17.3%,19.2%,18.5%,15.4%,15.1%
19,Cleveland,16.7%,16.4%,19.2%,16.4%,17.2%,14.4%
20,San Antonio,16.6%,13.0%,16.3%,16.1%,17.7%,14.3%
21,Toronto,16.2%,16.1%,16.5%,14.5%,17.0%,14.2%
22,Miami,16.1%,15.4%,17.3%,16.3%,16.0%,14.2%
23,New York,15.8%,16.4%,16.8%,15.9%,15.8%,14.9%
24,Sacramento,15.8%,13.8%,11.5%,14.9%,16.5%,14.7%
25,Chicago,15.7%,13.5%,7.4%,16.2%,15.4%,13.6%
26,Atlanta,15.7%,11.3%,6.3%,18.5%,14.1%,15.2%
27,Phoenix,15.3%,15.4%,15.0%,15.1%,15.5%,14.8%
28,Washington,14.1%,12.8%,8.3%,15.1%,13.3%,14.8%
29,Boston,12.8%,11.8%,17.7%,12.8%,12.7%,13.6%
30,Milwaukee,12.6%,11.7%,8.8%,12.3%,13.0%,15.0%
