Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Charlotte,17.2%,12.4%,15.6%,17.8%,16.7%,16.6%
2,Denver,17.3%,16.9%,17.8%,16.4%,18.1%,15.6%
3,Memphis,17.6%,15.4%,10.2%,18.4%,16.6%,17.6%
4,Miami,17.6%,16.0%,17.9%,17.4%,17.8%,14.1%
5,LA Lakers,17.7%,16.8%,17.8%,19.7%,16.4%,15.6%
6,Dallas,17.9%,18.5%,16.2%,17.6%,18.5%,15.4%
7,Sacramento,17.9%,17.9%,19.1%,17.7%,18.0%,16.8%
8,Okla City,17.9%,16.2%,13.5%,17.8%,18.0%,17.5%
9,Atlanta,18.0%,19.4%,20.9%,18.3%,17.9%,16.3%
10,Golden State,18.2%,17.6%,20.2%,16.5%,19.0%,17.3%
11,Houston,18.2%,20.4%,20.6%,18.6%,17.9%,16.7%
12,New Orleans,18.2%,19.9%,16.8%,18.2%,18.3%,15.9%
13,LA Clippers,18.3%,19.1%,16.8%,18.9%,17.6%,16.6%
14,San Antonio,18.3%,14.1%,13.5%,16.7%,21.5%,14.5%
15,Philadelphia,18.4%,16.6%,13.2%,18.9%,17.9%,16.8%
16,Chicago,18.4%,18.4%,20.8%,18.5%,18.3%,15.0%
17,New York,18.6%,17.7%,19.1%,18.1%,19.4%,16.0%
18,Cleveland,18.8%,16.8%,19.5%,19.2%,18.2%,15.9%
19,Orlando,18.9%,16.7%,14.6%,18.5%,19.4%,18.6%
20,Portland,18.9%,14.8%,22.4%,16.7%,20.7%,16.5%
21,Minnesota,19.4%,17.4%,18.6%,18.9%,19.8%,16.7%
22,Brooklyn,19.4%,17.5%,15.3%,18.8%,19.9%,18.8%
23,Toronto,19.4%,17.2%,17.7%,19.4%,19.5%,18.4%
24,Milwaukee,19.5%,17.4%,15.6%,18.4%,20.9%,15.9%
25,Washington,19.5%,21.0%,18.5%,20.3%,19.0%,16.8%
26,Utah,19.6%,22.4%,22.9%,19.9%,19.1%,16.3%
27,Detroit,19.9%,17.3%,14.1%,20.0%,19.8%,18.2%
28,Indiana,20.4%,19.3%,18.9%,19.6%,21.0%,17.1%
29,Phoenix,20.4%,22.1%,23.6%,20.5%,20.3%,16.0%
30,Boston,21.3%,21.8%,24.0%,20.7%,21.9%,14.8%
