Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Charlotte,19.5,14.0,18.0,19.7,19.3,19.5
2,Denver,19.9,20.0,20.0,19.1,20.6,19.9
3,LA Lakers,20.2,19.3,21.0,22.8,18.4,20.2
4,Memphis,20.3,17.0,11.0,21.3,19.0,20.3
5,Sacramento,20.7,20.3,22.0,20.6,20.8,20.7
6,LA Clippers,20.7,22.0,20.0,21.0,20.4,20.7
7,Okla City,20.8,19.0,16.0,20.6,20.9,20.8
8,Houston,20.8,22.7,22.0,21.1,20.4,20.8
9,San Antonio,20.8,16.0,15.0,18.7,25.0,20.8
10,New York,20.9,21.0,22.0,20.3,21.8,20.9
11,New Orleans,20.9,23.3,20.0,21.1,20.6,20.9
12,Golden State,21.0,21.0,25.0,19.0,22.0,21.0
13,Atlanta,21.2,22.3,24.0,21.3,21.1,21.2
14,Philadelphia,21.3,18.3,15.0,21.4,21.1,21.3
15,Dallas,21.6,22.3,19.0,21.5,21.8,21.6
16,Orlando,21.8,19.7,17.0,21.0,22.7,21.8
17,Brooklyn,21.9,19.0,17.0,21.4,22.3,21.9
18,Miami,22.0,20.0,22.0,22.4,21.6,22.0
19,Cleveland,22.1,19.0,22.0,22.0,22.1,22.1
20,Chicago,22.1,23.7,27.0,21.6,22.6,22.1
21,Toronto,22.6,20.0,20.0,22.3,22.8,22.6
22,Portland,22.7,17.7,25.0,19.9,24.9,22.7
22,Minnesota,22.7,20.7,23.0,22.3,23.1,22.7
22,Milwaukee,22.7,19.7,19.0,21.6,24.1,22.7
25,Utah,23.1,27.7,25.0,24.4,21.7,23.1
26,Detroit,23.4,20.3,16.0,24.0,22.7,23.4
27,Washington,23.7,24.3,22.0,25.0,22.9,23.7
28,Phoenix,23.8,26.7,29.0,23.8,23.7,23.8
28,Boston,23.8,23.3,25.0,23.0,24.5,23.8
30,Indiana,24.2,23.3,22.0,23.7,24.6,24.2
