Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Charlotte,18.7%,13.7%,17.1%,19.6%,18.0%,18.5%
2,Denver,19.3%,19.5%,20.9%,18.3%,20.2%,17.3%
3,Memphis,19.3%,16.4%,10.6%,20.2%,18.2%,19.5%
4,LA Lakers,19.6%,18.6%,19.1%,21.8%,18.1%,17.3%
5,Sacramento,19.7%,19.6%,21.1%,19.4%,19.9%,18.5%
6,Okla City,19.8%,18.1%,15.1%,19.6%,19.9%,19.5%
7,Dallas,19.9%,20.7%,17.6%,19.6%,20.7%,17.3%
8,Miami,19.9%,17.9%,19.2%,20.1%,19.8%,15.6%
9,Golden State,20.1%,20.1%,24.3%,18.6%,20.9%,19.1%
10,New York,20.1%,19.4%,21.0%,19.8%,20.8%,17.7%
11,San Antonio,20.1%,15.6%,14.3%,18.3%,23.7%,16.2%
12,Atlanta,20.2%,21.4%,22.9%,20.5%,20.1%,17.9%
13,Houston,20.3%,22.5%,23.0%,20.9%,19.7%,18.4%
14,New Orleans,20.3%,21.9%,18.5%,20.5%,20.1%,17.8%
15,Philadelphia,20.3%,17.6%,13.5%,20.9%,19.7%,18.7%
16,LA Clippers,20.5%,21.6%,18.7%,21.1%,19.8%,18.3%
17,Chicago,20.6%,21.4%,23.6%,20.4%,20.8%,16.6%
18,Cleveland,20.8%,18.6%,21.4%,21.2%,20.3%,17.6%
19,Orlando,20.9%,18.6%,15.9%,20.2%,21.7%,20.3%
20,Portland,21.1%,16.3%,24.3%,18.4%,23.1%,18.5%
21,Utah,21.5%,24.1%,23.6%,22.0%,21.0%,18.1%
22,Brooklyn,21.6%,19.1%,17.5%,21.0%,22.1%,20.7%
23,Toronto,21.7%,19.3%,18.9%,21.7%,21.7%,20.4%
24,Milwaukee,21.7%,18.8%,17.2%,20.5%,23.2%,17.6%
25,Minnesota,21.7%,19.4%,21.2%,21.2%,22.3%,18.5%
26,Washington,22.2%,23.6%,20.8%,22.9%,21.7%,18.9%
27,Detroit,22.3%,19.8%,15.6%,22.4%,22.1%,20.1%
28,Indiana,22.6%,22.3%,21.4%,21.7%,23.4%,19.0%
29,Phoenix,22.8%,24.7%,26.7%,22.9%,22.7%,17.8%
30,Boston,23.8%,23.9%,25.7%,23.0%,24.7%,16.4%
