Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Miami,153.9,148.7,140.0,156.3,151.3,136.3
2,Denver,153.9,153.3,160.0,157.7,150.0,148.5
3,Chicago,151.9,168.0,158.0,152.7,151.4,146.4
4,New York,150.1,149.3,140.0,153.3,144.4,140.8
5,Toronto,149.9,149.0,154.0,147.2,151.3,139.4
6,Houston,149.5,146.3,137.0,149.7,149.4,136.5
7,Utah,149.0,166.3,159.0,167.0,131.0,137.4
8,Atlanta,148.2,152.7,156.0,140.2,153.0,147.4
9,Minnesota,147.1,143.3,148.0,145.3,149.3,139.3
10,Okla City,146.9,142.0,135.0,150.3,144.2,144.7
10,Cleveland,146.9,133.0,124.0,141.8,153.4,149.3
12,San Antonio,146.7,154.7,169.0,147.9,144.4,142.6
13,Phoenix,146.3,149.3,151.0,147.8,144.6,141.4
14,Portland,146.2,147.0,148.0,144.0,148.1,134.7
15,Detroit,145.8,150.0,148.0,147.4,144.0,140.9
16,Milwaukee,144.3,130.3,144.0,150.7,136.1,140.4
17,Philadelphia,144.3,141.7,153.0,142.4,146.4,132.8
18,LA Lakers,143.9,153.0,171.0,148.7,140.7,138.4
19,Charlotte,142.9,130.7,146.0,140.1,145.4,129.4
20,Orlando,141.6,148.0,161.0,138.0,146.1,127.8
21,Golden State,141.4,139.0,120.0,149.2,138.2,140.9
22,Memphis,141.2,143.7,179.0,145.4,135.7,148.7
23,Boston,138.0,150.0,138.0,144.9,132.0,140.4
24,Washington,137.9,132.7,134.0,135.7,139.5,133.1
25,Sacramento,136.9,125.0,120.0,136.3,137.3,142.0
26,LA Clippers,134.7,129.3,121.0,140.8,127.7,137.8
27,Brooklyn,134.3,135.3,124.0,134.1,134.4,130.3
28,Dallas,134.2,138.0,134.0,137.0,128.0,139.5
29,Indiana,133.7,141.0,159.0,141.1,127.1,145.3
30,New Orleans,131.7,133.7,143.0,133.0,130.3,135.7
