Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Denver,65.6,61.3,70.0,67.7,63.4,64.9
2,Detroit,64.9,65.3,70.0,63.3,66.9,59.4
3,Toronto,64.3,72.7,68.0,59.2,66.8,59.6
4,Houston,63.8,68.0,64.0,64.0,63.7,59.1
5,LA Lakers,62.1,65.3,78.0,66.3,59.3,54.5
6,Miami,61.9,54.7,52.0,64.0,59.4,53.3
7,Okla City,60.0,60.7,62.0,58.6,61.1,59.7
8,San Antonio,59.5,60.0,62.0,56.0,66.4,55.3
9,Sacramento,59.1,56.7,52.0,53.1,63.8,60.8
10,Atlanta,59.0,58.0,58.0,52.3,63.0,59.6
11,Minnesota,58.7,60.0,58.0,59.5,57.7,52.0
12,Portland,58.3,64.0,64.0,56.6,59.8,55.3
13,Chicago,58.0,56.0,50.0,59.0,57.3,55.4
14,Orlando,57.9,58.7,54.0,56.7,59.4,54.1
15,Milwaukee,56.6,46.7,62.0,59.6,52.9,55.2
16,Dallas,56.4,51.3,38.0,56.2,56.8,59.0
17,Washington,56.3,54.0,58.0,57.3,55.5,52.6
18,Philadelphia,55.6,52.7,48.0,55.3,56.0,54.0
19,New Orleans,55.3,64.7,74.0,57.8,52.6,57.2
20,Phoenix,54.7,70.7,66.0,57.0,52.0,53.8
21,Utah,54.6,61.3,70.0,56.9,52.3,52.7
22,New York,53.9,60.0,58.0,52.9,55.6,60.6
23,Indiana,53.3,52.0,60.0,56.0,51.0,59.6
24,Boston,53.2,51.3,36.0,56.6,50.3,47.4
25,Charlotte,52.8,52.0,60.0,50.0,55.3,50.7
26,Cleveland,52.8,52.0,48.0,52.9,52.6,56.8
27,Memphis,52.4,56.7,66.0,51.6,53.4,61.3
28,LA Clippers,51.9,46.0,44.0,53.5,50.0,58.2
29,Brooklyn,47.4,48.0,38.0,48.3,46.6,48.1
30,Golden State,45.9,44.0,42.0,50.8,43.8,50.1
