Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Detroit,59.3,59.3,66.0,56.0,63.1,52.3
2,Miami,57.2,50.7,48.0,59.5,54.6,46.9
3,Denver,55.6,50.7,62.0,58.9,52.3,56.5
4,Toronto,54.9,64.0,56.0,49.6,57.6,53.3
5,Portland,54.7,58.7,62.0,53.4,55.8,48.8
6,Chicago,54.6,49.3,44.0,56.7,53.0,50.6
7,Houston,53.5,55.3,52.0,56.0,51.4,51.1
8,LA Lakers,52.9,57.3,74.0,58.3,49.3,47.3
8,Minnesota,52.9,56.7,56.0,54.8,50.9,47.4
10,Atlanta,52.6,51.3,46.0,48.3,55.2,55.1
11,Okla City,51.9,54.0,52.0,49.4,53.8,50.4
12,San Antonio,51.9,55.3,60.0,48.6,58.4,47.8
13,Orlando,51.6,53.3,50.0,50.9,52.6,45.5
14,New Orleans,50.9,54.7,60.0,52.0,49.7,49.9
15,Charlotte,50.0,48.7,54.0,47.4,52.3,45.0
16,Philadelphia,49.1,48.7,42.0,49.0,49.1,46.7
17,Dallas,49.0,44.7,30.0,49.1,48.8,50.7
18,Milwaukee,48.8,37.3,48.0,51.1,45.7,43.9
19,Utah,48.7,52.7,56.0,51.1,46.3,47.8
20,Washington,47.6,48.0,50.0,48.0,47.3,46.2
21,Sacramento,47.5,44.0,40.0,44.3,50.0,47.8
22,LA Clippers,47.2,42.7,40.0,49.0,45.1,51.4
23,New York,47.1,52.7,44.0,47.8,46.0,51.5
24,Cleveland,46.4,46.0,44.0,46.2,46.6,51.1
25,Memphis,46.1,47.3,56.0,45.3,47.1,55.3
26,Indiana,46.0,42.0,40.0,47.7,44.5,49.1
27,Phoenix,45.2,58.0,58.0,45.0,45.4,42.2
28,Brooklyn,41.3,43.3,36.0,41.1,41.4,43.5
29,Boston,41.1,42.7,30.0,45.1,37.5,40.8
30,Golden State,40.1,40.7,40.0,46.4,37.5,44.2
