Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Miami,124.8,122.7,143.0,125.3,124.4,124.8
2,Denver,123.8,121.3,112.0,125.7,122.1,123.8
3,Houston,122.9,113.3,109.0,122.7,123.0,122.9
4,Okla City,122.6,127.7,144.0,122.3,122.9,122.6
5,Toronto,121.1,123.7,140.0,122.0,120.6,121.1
5,Portland,121.1,119.3,127.0,118.4,123.2,121.1
7,New York,120.8,122.0,113.0,124.7,113.8,120.8
8,Chicago,120.7,119.7,107.0,120.1,121.3,120.7
9,Minnesota,120.1,117.7,113.0,119.5,120.8,120.1
10,Cleveland,119.9,114.0,120.0,115.9,125.6,119.9
11,San Antonio,119.3,123.0,135.0,119.0,120.0,119.3
12,Phoenix,119.0,121.0,114.0,120.7,116.9,119.0
13,Utah,118.9,129.3,112.0,131.3,104.9,118.9
14,Detroit,118.9,120.3,120.0,120.6,116.9,118.9
15,Philadelphia,118.4,115.0,123.0,116.4,120.7,118.4
16,LA Lakers,117.9,125.7,140.0,122.2,115.0,117.9
17,Atlanta,117.8,120.7,126.0,112.7,120.8,117.8
18,Milwaukee,117.4,105.0,114.0,122.7,110.6,117.4
19,Orlando,116.7,121.0,129.0,114.4,119.6,116.7
20,Charlotte,116.6,107.3,118.0,113.1,119.6,116.6
21,Golden State,114.8,110.7,123.0,120.2,112.2,114.8
22,Boston,113.2,113.0,105.0,117.3,109.1,113.2
23,Memphis,112.8,112.7,137.0,116.9,107.4,112.8
24,Washington,112.5,108.3,110.0,111.2,113.3,112.5
25,Sacramento,111.0,101.7,96.0,110.3,111.6,111.0
25,LA Clippers,111.0,109.0,101.0,114.5,107.0,111.0
27,Dallas,110.8,108.3,118.0,113.3,104.6,110.8
28,Indiana,110.1,116.0,109.0,116.1,105.3,110.1
29,Brooklyn,109.9,113.7,113.0,109.3,110.4,109.9
30,New Orleans,109.3,114.0,115.0,109.5,109.1,109.3
