Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Detroit,16.5,16.3,16.0,16.3,16.7,13.2
2,Okla City,16.4,18.3,19.0,18.7,14.7,16.1
3,Atlanta,15.3,13.7,13.0,15.0,15.5,14.8
4,Phoenix,15.2,16.7,15.0,14.4,16.1,12.0
5,Cleveland,14.8,11.3,13.0,14.0,16.0,12.4
6,Minnesota,14.8,19.0,21.0,16.0,13.5,12.8
7,Dallas,14.7,13.3,18.0,15.1,13.8,13.3
8,Golden State,14.6,14.7,17.0,14.5,14.6,14.0
9,Houston,14.1,10.3,10.0,14.4,13.9,13.4
10,Orlando,14.0,17.7,16.0,13.2,15.0,14.6
10,San Antonio,14.0,12.7,14.0,13.5,15.0,13.8
12,Miami,13.9,14.3,20.0,14.0,13.9,11.8
13,LA Clippers,13.9,11.0,13.0,14.9,12.9,14.0
14,Philadelphia,13.9,14.3,15.0,13.1,14.7,13.6
14,Chicago,13.9,15.3,18.0,13.9,13.9,12.3
16,New York,13.9,14.3,18.0,12.9,15.6,12.2
17,Portland,13.8,13.3,12.0,15.0,12.8,13.5
18,Toronto,13.3,15.3,17.0,13.3,13.2,12.3
19,Boston,13.2,10.3,8.0,12.4,14.0,12.6
20,LA Lakers,12.9,15.0,10.0,12.2,13.4,12.1
21,New Orleans,12.6,16.3,19.0,12.4,12.9,13.8
22,Milwaukee,12.4,9.7,9.0,12.2,12.7,11.9
23,Washington,12.3,11.7,13.0,12.8,12.0,12.7
24,Charlotte,11.9,13.3,9.0,10.6,13.1,11.9
24,Denver,11.9,11.3,14.0,12.3,11.6,12.7
26,Memphis,11.9,12.7,14.0,12.4,11.1,14.3
26,Sacramento,11.9,11.7,10.0,11.1,12.4,11.9
28,Utah,11.7,15.7,13.0,13.5,9.7,11.2
29,Indiana,11.4,13.7,15.0,10.4,12.1,13.9
30,Brooklyn,10.8,12.3,11.0,10.9,10.8,12.1
