Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,9.4%,10.3%,12.7%,10.6%,8.6%,9.0%
2,Phoenix,9.2%,11.3%,10.6%,8.5%,10.2%,6.4%
3,Golden State,8.8%,9.2%,11.3%,9.1%,8.6%,8.3%
4,Detroit,8.7%,8.5%,10.6%,8.4%,9.1%,6.9%
5,Atlanta,8.5%,7.8%,6.1%,7.9%,8.8%,8.3%
6,LA Lakers,8.4%,10.2%,7.6%,7.9%,8.8%,6.7%
7,New York,8.4%,6.7%,7.0%,8.0%,9.1%,7.3%
8,New Orleans,8.3%,10.2%,12.6%,8.1%,8.6%,7.4%
9,Houston,8.1%,6.3%,7.5%,8.8%,7.4%,7.4%
10,Minnesota,8.0%,12.4%,13.7%,8.6%,7.4%,7.0%
11,Miami,7.8%,7.5%,10.6%,7.5%,8.1%,7.2%
12,San Antonio,7.8%,8.0%,9.0%,7.8%,7.6%,7.2%
13,Portland,7.7%,7.0%,7.2%,8.6%,7.0%,7.2%
14,Toronto,7.6%,9.5%,11.5%,7.2%,7.9%,7.0%
15,Cleveland,7.6%,4.7%,4.4%,6.7%,8.8%,7.2%
16,LA Clippers,7.6%,4.9%,5.9%,8.2%,6.9%,8.4%
17,Sacramento,7.5%,7.9%,4.3%,6.8%,8.0%,6.7%
18,Orlando,7.4%,10.5%,10.3%,7.2%,7.6%,8.0%
19,Boston,7.3%,5.9%,6.7%,7.6%,6.9%,6.5%
20,Dallas,7.0%,6.1%,7.7%,6.8%,7.5%,6.8%
21,Denver,6.9%,6.2%,7.1%,7.4%,6.6%,6.9%
22,Utah,6.8%,9.7%,9.2%,7.1%,6.5%,5.8%
23,Milwaukee,6.8%,6.5%,5.7%,6.7%,6.9%,6.4%
24,Chicago,6.7%,5.2%,3.9%,6.3%,7.1%,6.5%
25,Memphis,6.7%,7.9%,10.2%,6.5%,7.0%,7.3%
26,Philadelphia,6.5%,8.2%,7.9%,5.8%,7.1%,8.1%
27,Brooklyn,6.4%,6.5%,4.5%,7.0%,5.8%,7.1%
28,Charlotte,6.2%,7.1%,6.1%,4.8%,7.4%,6.6%
29,Washington,5.5%,6.3%,7.6%,5.5%,5.5%,6.5%
30,Indiana,5.5%,6.3%,8.6%,5.1%,5.8%,7.3%
