Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,10.7,10.0,9.0,12.3,9.4,10.4
2,Phoenix,10.6,11.3,19.0,9.5,11.9,7.2
3,Detroit,10.3,10.0,12.0,10.1,10.4,7.9
4,Golden State,9.9,11.0,8.0,9.8,10.0,9.4
5,Atlanta,9.9,9.0,7.0,9.2,10.4,9.7
6,LA Lakers,9.6,11.7,9.0,9.2,9.9,7.6
7,Miami,9.5,6.3,10.0,9.6,9.4,8.0
8,New York,9.4,8.0,8.0,9.0,10.2,8.1
9,Portland,9.3,8.3,10.0,10.3,8.5,8.3
10,Houston,9.3,9.7,9.0,10.3,8.4,8.4
11,Cleveland,9.2,6.0,4.0,8.0,10.7,8.2
12,New Orleans,9.1,10.7,12.0,9.4,8.9,8.5
13,Minnesota,8.9,12.0,11.0,10.1,7.4,7.9
14,San Antonio,8.8,9.0,10.0,8.8,8.8,8.2
15,Sacramento,8.6,9.0,5.0,7.9,9.2,7.5
16,LA Clippers,8.6,5.7,7.0,9.1,8.0,9.3
16,Toronto,8.6,11.0,12.0,7.4,9.2,8.1
18,Orlando,8.5,12.3,12.0,8.2,8.9,8.7
19,Dallas,8.4,6.7,6.0,8.3,8.8,7.8
20,Chicago,8.3,7.3,10.0,7.7,8.8,7.6
21,Boston,8.2,5.3,6.0,8.7,7.8,7.1
22,Denver,8.0,7.7,8.0,8.6,7.4,7.9
23,Milwaukee,7.9,7.3,7.0,7.9,8.0,7.2
24,Utah,7.9,11.7,13.0,8.4,7.4,6.8
25,Memphis,7.8,8.7,11.0,7.6,8.0,8.6
26,Philadelphia,7.5,9.0,9.0,6.6,8.4,9.2
27,Brooklyn,7.4,8.3,12.0,8.0,6.7,7.8
28,Charlotte,7.0,8.0,7.0,5.3,8.5,7.4
29,Washington,6.5,6.3,6.0,6.8,6.3,7.6
30,Indiana,6.3,6.0,5.0,6.1,6.4,8.4
