Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Cleveland,12.7,9.0,7.0,12.8,12.6,12.7
2,Houston,12.6,10.0,12.0,14.1,11.0,12.6
3,Dallas,12.1,9.3,6.0,13.0,10.0,12.1
4,Boston,11.6,5.7,4.0,7.8,15.5,11.6
5,Portland,10.7,14.3,10.0,12.7,9.1,10.7
6,Brooklyn,10.7,9.0,9.0,9.1,12.0,10.7
6,Philadelphia,10.7,9.3,8.0,11.1,10.1,10.7
8,Charlotte,10.5,12.0,15.0,10.1,10.8,10.5
9,Indiana,10.4,7.7,5.0,10.3,10.6,10.4
10,Milwaukee,10.4,9.7,9.0,7.6,14.0,10.4
11,New Orleans,10.3,11.3,11.0,11.9,8.8,10.3
12,Okla City,10.0,10.0,12.0,7.9,11.5,10.0
13,Detroit,9.9,8.0,10.0,9.3,10.7,9.9
14,Miami,9.6,13.0,14.0,10.1,9.1,9.6
14,Orlando,9.6,11.0,6.0,9.3,10.0,9.6
14,Memphis,9.6,11.7,14.0,10.4,8.6,9.6
17,Phoenix,9.6,10.3,11.0,9.7,9.4,9.6
18,LA Lakers,9.5,7.7,12.0,11.8,7.9,9.5
19,Minnesota,9.4,12.0,14.0,10.5,8.4,9.4
20,Sacramento,8.9,8.7,8.0,8.4,9.2,8.9
21,Utah,8.9,7.0,7.0,8.4,9.4,8.9
22,Toronto,8.6,8.7,8.0,7.2,9.5,8.6
23,San Antonio,8.4,5.7,5.0,8.3,8.6,8.4
24,Atlanta,8.4,7.7,7.0,8.3,8.4,8.4
25,New York,8.3,13.0,15.0,8.3,8.2,8.3
26,Chicago,8.1,9.0,17.0,10.3,6.3,8.1
27,Denver,7.9,7.7,14.0,7.1,8.6,7.9
28,Washington,7.9,7.3,11.0,8.7,7.3,7.9
29,LA Clippers,7.7,7.3,10.0,7.0,8.6,7.7
30,Golden State,7.7,6.0,6.0,8.2,7.4,7.7
