Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Houston,42.3%,38.2%,37.5%,41.5%,42.9%,35.5%
2,Milwaukee,41.3%,41.4%,38.9%,43.2%,38.8%,38.7%
3,Chicago,39.4%,38.8%,42.9%,40.7%,38.5%,36.6%
4,Miami,38.4%,40.4%,37.1%,37.8%,39.1%,36.7%
5,Minnesota,38.2%,31.9%,34.2%,35.6%,41.1%,37.4%
6,Phoenix,38.0%,35.2%,35.0%,39.4%,36.6%,37.8%
7,Philadelphia,37.7%,35.5%,34.0%,38.1%,37.3%,34.1%
8,Washington,37.6%,39.4%,43.8%,34.6%,39.9%,33.5%
9,Atlanta,37.5%,39.5%,54.1%,35.1%,39.1%,35.7%
10,Toronto,37.1%,33.3%,37.9%,41.9%,34.6%,34.8%
11,Golden State,36.7%,35.5%,26.5%,38.5%,36.0%,36.2%
12,New York,36.7%,32.1%,28.6%,39.9%,30.9%,36.6%
13,San Antonio,36.6%,39.2%,42.5%,38.7%,31.8%,35.7%
14,Denver,36.6%,40.6%,35.5%,34.0%,39.4%,37.1%
15,Sacramento,36.5%,33.0%,33.3%,39.7%,33.5%,35.8%
16,LA Clippers,36.1%,36.4%,38.9%,39.9%,31.8%,37.3%
17,Charlotte,35.8%,30.7%,28.9%,38.2%,33.7%,33.9%
18,Cleveland,34.9%,35.1%,30.8%,33.8%,36.1%,38.1%
19,Boston,34.7%,42.4%,45.2%,33.7%,35.6%,36.8%
20,Detroit,34.6%,33.6%,32.3%,34.7%,34.6%,36.0%
21,Orlando,34.6%,36.9%,52.9%,33.9%,35.5%,31.5%
22,Okla City,34.3%,36.9%,26.3%,33.0%,35.5%,36.5%
23,New Orleans,34.2%,29.7%,20.6%,32.6%,36.0%,34.7%
24,LA Lakers,33.8%,34.3%,34.4%,32.0%,35.1%,36.5%
25,Brooklyn,33.5%,34.7%,36.8%,33.0%,34.0%,34.4%
26,Utah,33.2%,36.2%,28.9%,37.1%,28.4%,35.0%
27,Memphis,32.7%,30.4%,31.5%,33.5%,31.4%,36.6%
28,Portland,32.4%,27.7%,28.6%,32.0%,32.7%,34.2%
29,Dallas,31.4%,37.0%,36.4%,32.6%,28.7%,36.5%
30,Indiana,30.7%,35.7%,42.1%,32.2%,29.4%,37.3%
