Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Cleveland,44.4,36.3,35.0,42.3,47.4,41.4
2,Golden State,43.7,42.7,43.0,44.0,43.5,41.9
3,Boston,43.6,38.3,34.0,45.0,42.1,47.2
4,New York,43.4,43.7,42.0,43.4,43.4,33.6
5,Portland,42.0,42.7,45.0,40.1,43.4,37.7
6,Utah,41.1,44.0,38.0,44.1,37.7,39.8
7,Brooklyn,40.8,37.3,33.0,40.7,40.9,39.4
8,Charlotte,40.3,42.3,45.0,38.9,41.5,38.3
9,Memphis,40.2,41.7,54.0,42.1,37.7,37.5
10,Phoenix,40.1,33.7,31.0,38.1,42.6,38.0
11,Okla City,39.1,39.0,37.0,43.7,35.8,37.9
12,Chicago,38.1,48.3,43.0,36.7,39.3,42.0
13,Indiana,37.7,35.3,37.0,39.0,36.7,35.3
14,Milwaukee,37.1,37.0,36.0,37.0,37.1,36.7
15,Philadelphia,36.9,40.3,53.0,34.8,39.4,37.2
16,LA Clippers,36.8,36.7,36.0,36.4,37.3,33.4
17,San Antonio,36.5,40.0,40.0,37.7,34.0,39.6
18,Miami,36.4,36.0,38.0,36.0,36.8,37.5
19,Washington,36.2,35.7,41.0,35.7,36.6,39.1
20,Minnesota,36.2,39.7,37.0,35.5,36.9,39.4
21,Atlanta,35.8,41.3,37.0,37.5,34.8,37.6
22,Dallas,34.9,39.0,43.0,35.0,34.8,34.1
23,New Orleans,33.5,29.7,27.0,33.8,33.3,34.6
24,Denver,32.9,32.0,29.0,35.3,30.9,32.3
25,Orlando,32.5,34.3,34.0,31.8,33.4,35.1
26,LA Lakers,32.3,33.0,32.0,32.8,32.0,36.5
27,Toronto,32.3,27.3,28.0,32.5,32.1,34.0
28,Detroit,32.1,35.7,31.0,34.6,29.3,35.1
29,Sacramento,31.4,31.3,33.0,34.1,29.2,35.2
30,Houston,30.3,26.7,36.0,31.3,29.3,35.2
