Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Charlotte,55.0%,54.0%,57.3%,54.3%,55.6%,49.9%
2,Houston,55.0%,53.1%,50.0%,52.5%,57.9%,53.4%
3,San Antonio,52.4%,47.4%,51.1%,52.6%,52.0%,49.0%
4,Denver,52.3%,48.1%,50.0%,52.6%,52.0%,52.3%
5,New York,52.3%,51.4%,51.2%,53.0%,51.1%,50.8%
6,Orlando,51.9%,50.5%,51.8%,53.2%,50.3%,49.9%
7,LA Lakers,51.9%,53.2%,57.6%,52.7%,51.3%,49.4%
8,Utah,51.7%,47.4%,54.8%,52.6%,50.6%,50.8%
9,Detroit,51.7%,49.7%,54.4%,51.8%,51.5%,51.0%
10,Portland,51.6%,58.9%,62.0%,53.0%,50.6%,50.2%
11,Philadelphia,51.3%,53.7%,54.1%,51.4%,51.3%,47.4%
12,Phoenix,50.9%,53.1%,52.3%,51.5%,50.2%,49.3%
13,Okla City,50.3%,48.9%,45.2%,48.2%,51.6%,49.1%
14,Memphis,50.2%,56.1%,61.2%,50.8%,49.4%,51.3%
15,Boston,50.1%,51.8%,49.0%,48.6%,51.5%,50.4%
16,Cleveland,50.1%,51.4%,55.1%,49.6%,50.7%,50.7%
17,Chicago,49.9%,42.8%,45.5%,52.7%,47.7%,49.4%
18,Minnesota,49.8%,53.4%,47.7%,51.5%,48.1%,50.9%
19,Toronto,49.5%,50.7%,58.3%,48.4%,50.2%,49.8%
20,Indiana,48.9%,46.6%,44.9%,49.9%,48.1%,48.3%
21,LA Clippers,48.8%,47.2%,48.2%,49.7%,48.0%,50.9%
22,Golden State,48.4%,45.8%,38.0%,47.1%,49.0%,50.4%
23,Dallas,48.4%,47.3%,50.0%,48.5%,48.0%,48.8%
24,Miami,48.1%,49.7%,54.5%,47.4%,48.9%,49.8%
25,Atlanta,48.0%,46.5%,48.9%,47.5%,48.3%,50.2%
26,New Orleans,47.7%,50.8%,50.0%,45.9%,49.7%,49.0%
27,Sacramento,46.9%,45.9%,38.8%,46.1%,47.5%,50.9%
28,Milwaukee,46.5%,46.6%,45.9%,46.3%,46.7%,49.6%
29,Brooklyn,46.3%,51.5%,51.0%,46.5%,46.2%,48.5%
30,Washington,46.1%,42.5%,41.7%,44.8%,47.0%,47.7%
