Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,11.4,13.0,13.0,9.6,13.3,12.0
2,Okla City,12.8,16.0,14.0,12.9,12.8,11.8
3,New York,13.1,11.3,9.0,12.9,13.4,13.4
4,Denver,13.7,14.0,14.0,12.9,14.4,14.5
5,Toronto,14.1,15.7,15.0,13.8,14.2,15.3
6,Memphis,14.1,12.3,8.0,13.8,14.6,15.8
7,Cleveland,14.2,14.7,14.0,14.6,13.7,13.1
8,Indiana,14.3,16.7,13.0,14.1,14.3,13.4
9,Miami,14.4,12.7,10.0,14.1,14.6,13.7
9,Milwaukee,14.4,15.3,14.0,13.9,15.0,13.4
11,Philadelphia,14.6,14.7,14.0,14.0,15.3,13.6
12,Sacramento,14.6,15.7,17.0,15.4,14.0,13.4
13,Brooklyn,14.7,14.3,14.0,16.0,13.6,15.2
14,Detroit,14.9,15.3,15.0,16.6,12.9,15.0
15,Chicago,15.0,14.3,18.0,14.6,15.4,14.7
16,Houston,15.1,14.0,14.0,12.3,17.9,13.9
17,New Orleans,15.2,15.7,13.0,15.5,14.9,14.6
18,Minnesota,15.3,16.3,22.0,15.8,14.8,14.6
19,Orlando,15.3,11.0,11.0,16.2,14.1,14.0
20,Atlanta,15.4,17.3,16.0,16.7,14.6,15.4
21,San Antonio,15.5,11.7,11.0,15.2,16.2,13.9
22,LA Clippers,16.1,15.0,21.0,16.3,15.9,14.7
23,Charlotte,16.2,14.7,13.0,17.0,15.5,15.5
24,LA Lakers,16.5,17.3,17.0,16.0,16.8,14.0
25,Phoenix,16.6,21.0,28.0,17.1,16.0,14.1
26,Portland,16.7,19.0,21.0,16.9,16.6,16.0
27,Golden State,16.8,18.3,14.0,12.7,18.8,14.1
28,Washington,16.9,15.7,18.0,16.2,17.4,15.6
29,Dallas,17.3,19.3,20.0,17.8,16.2,14.0
30,Utah,17.7,18.3,28.0,18.1,17.1,17.2
