Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,10.1%,11.6%,11.7%,8.4%,11.9%,10.9%
2,New York,11.1%,9.2%,7.4%,11.0%,11.2%,11.9%
3,Okla City,11.2%,14.1%,12.8%,11.2%,11.1%,10.4%
4,Indiana,11.8%,14.1%,11.5%,11.6%,11.9%,11.9%
5,Denver,11.9%,12.3%,13.1%,11.0%,12.8%,12.6%
6,Miami,12.0%,10.2%,7.7%,11.7%,12.3%,12.5%
7,Cleveland,12.0%,13.1%,12.0%,12.7%,11.1%,11.4%
8,Memphis,12.1%,10.4%,6.9%,11.8%,12.6%,13.2%
9,Toronto,12.3%,13.8%,12.6%,12.2%,12.3%,13.2%
10,Philadelphia,12.5%,12.6%,11.5%,12.3%,12.7%,12.2%
11,Detroit,12.5%,13.4%,13.7%,13.5%,11.3%,13.0%
12,Houston,12.7%,11.8%,12.4%,10.4%,14.9%,11.9%
13,Chicago,12.7%,11.9%,14.7%,12.5%,12.9%,12.6%
14,Milwaukee,12.7%,13.7%,12.3%,12.4%,13.2%,12.1%
15,Sacramento,12.8%,14.1%,15.7%,13.4%,12.4%,11.8%
16,New Orleans,13.1%,13.1%,11.1%,13.3%,12.9%,12.7%
17,Brooklyn,13.1%,13.3%,13.4%,14.1%,12.3%,13.6%
18,Minnesota,13.2%,13.4%,17.9%,13.4%,12.9%,13.1%
19,Orlando,13.2%,9.5%,9.3%,14.1%,12.1%,12.7%
20,Atlanta,13.4%,15.4%,14.5%,14.5%,12.8%,13.0%
21,Portland,13.5%,14.7%,17.0%,13.8%,13.3%,13.7%
22,San Antonio,13.6%,10.6%,9.6%,13.6%,13.7%,12.2%
23,Charlotte,13.9%,12.4%,10.2%,15.2%,12.8%,13.6%
24,Phoenix,14.2%,16.9%,22.6%,14.8%,13.4%,12.7%
25,LA Clippers,14.4%,13.5%,18.0%,14.9%,14.0%,13.2%
26,Washington,14.5%,14.2%,15.9%,13.6%,15.0%,13.5%
27,Golden State,14.6%,15.8%,12.5%,11.4%,16.1%,12.3%
28,Utah,14.6%,14.6%,23.7%,14.4%,14.8%,14.8%
29,Dallas,14.6%,16.3%,16.8%,14.8%,14.0%,12.4%
30,LA Lakers,14.6%,15.1%,14.1%,14.0%,15.0%,12.7%
