Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Houston,67.3%,69.9%,73.3%,67.3%,67.3%,61.9%
2,Detroit,64.5%,59.3%,62.7%,63.0%,66.4%,60.7%
3,Sacramento,64.3%,62.8%,58.8%,61.8%,66.4%,60.9%
4,Toronto,63.2%,67.6%,65.5%,61.9%,63.8%,62.7%
5,Denver,62.6%,63.5%,62.7%,61.6%,63.5%,63.9%
6,Orlando,61.9%,61.9%,63.8%,62.4%,61.3%,59.1%
7,New Orleans,61.8%,65.9%,65.3%,62.4%,61.1%,61.5%
8,Miami,61.0%,61.0%,63.5%,62.3%,59.4%,56.9%
9,LA Lakers,60.7%,59.6%,61.9%,60.6%,60.7%,57.1%
10,Dallas,60.6%,59.2%,48.2%,61.0%,59.8%,61.1%
11,Washington,60.4%,60.6%,63.6%,61.8%,59.3%,56.5%
12,Indiana,59.5%,56.3%,55.3%,58.3%,60.6%,60.0%
13,Atlanta,59.1%,52.1%,57.5%,57.0%,60.4%,59.1%
14,Philadelphia,58.9%,54.9%,45.4%,60.1%,57.7%,57.4%
15,Minnesota,58.7%,58.4%,59.6%,59.7%,57.6%,54.8%
16,Chicago,58.7%,50.3%,49.0%,60.1%,57.7%,54.3%
17,Milwaukee,57.9%,58.1%,60.9%,58.1%,57.7%,57.5%
18,San Antonio,57.8%,54.7%,56.0%,55.8%,61.6%,55.9%
19,Okla City,56.9%,61.0%,56.8%,52.0%,60.7%,58.8%
20,LA Clippers,56.1%,57.2%,59.6%,55.6%,56.6%,61.3%
21,Portland,56.0%,59.0%,60.7%,56.8%,55.4%,58.2%
22,Memphis,55.7%,56.7%,45.5%,53.6%,58.6%,59.7%
23,Charlotte,55.0%,56.2%,57.9%,54.7%,55.3%,57.0%
24,Phoenix,54.9%,62.5%,59.2%,55.6%,54.2%,56.0%
25,Utah,54.7%,53.2%,51.1%,52.9%,56.7%,55.1%
26,New York,53.6%,55.0%,54.8%,53.6%,53.6%,62.1%
27,Boston,52.4%,52.3%,44.0%,51.7%,53.1%,47.1%
28,Brooklyn,51.9%,52.8%,53.7%,53.0%,50.8%,54.2%
29,Cleveland,51.0%,53.1%,51.9%,51.1%,50.7%,54.2%
30,Golden State,49.5%,47.2%,48.4%,49.7%,49.5%,53.3%
