OPPONENT_ABBREV,Primary_Pos,DVP_PTS,DVP_REB,DVP_AST,DVP_FG3M,DVP_PRA,DVP_PR,DVP_PA,DVP_RA,DVP_STL,DVP_BLK,DVP_TOV
ATL,C,13.24,10.26,2.58,0.51,26.09,14.15,10.0,7.51,0.91,1.5,2.5
ATL,PF,14.37,7.11,3.1,1.5,24.57,15.91,13.27,7.24,0.85,0.83,1.7
ATL,PG,16.89,5.81,6.63,2.19,29.33,16.94,17.45,9.12,1.66,0.38,3.28
ATL,SF,18.74,5.28,2.86,2.9,26.87,17.0,15.31,6.08,1.43,0.63,2.11
ATL,SG,16.17,3.79,2.98,2.39,22.93,14.97,14.5,4.94,1.68,0.21,1.92
BKN,C,17.0,10.17,2.19,1.16,29.36,17.33,12.61,7.67,1.09,1.68,1.85
BKN,PF,15.24,8.32,3.61,1.81,27.17,15.52,12.69,8.14,0.88,0.53,1.53
BKN,PG,16.34,3.95,7.12,2.45,27.41,12.64,14.09,6.55,1.78,0.19,1.99
BKN,SF,18.41,6.21,3.32,1.84,27.93,17.05,15.73,6.62,1.3,0.36,1.54
BKN,SG,16.06,4.35,3.87,2.53,24.28,13.79,14.03,5.24,1.29,0.44,1.66
BOS,C,15.95,11.2,2.98,0.97,30.13,16.38,11.67,8.36,0.77,1.62,2.2
BOS,PF,13.16,5.84,2.37,1.84,21.38,12.59,10.38,5.22,0.36,1.24,1.96
BOS,PG,16.27,3.9,5.98,2.46,26.15,16.89,18.18,7.36,1.1,0.41,2.63
BOS,SF,15.91,6.6,2.4,1.97,24.91,17.0,14.03,6.65,0.78,0.59,1.84
BOS,SG,10.74,4.68,3.74,1.53,19.16,10.29,9.97,5.4,0.63,0.36,1.73
CHA,C,15.61,8.61,2.96,1.57,27.18,15.0,11.67,6.67,0.83,1.87,1.86
CHA,PF,18.42,6.55,3.38,2.0,28.35,15.62,14.0,6.85,0.88,0.82,2.47
CHA,PG,18.46,4.14,7.11,2.45,29.72,17.67,19.47,8.0,1.31,0.28,2.4
CHA,SF,17.92,5.39,3.26,2.13,26.57,16.27,15.21,6.21,1.32,0.6,1.73
CHA,SG,15.49,4.19,3.48,2.47,23.17,12.05,11.88,4.78,1.45,0.38,1.53
CHI,C,18.6,11.95,3.32,1.86,33.87,20.89,15.26,10.31,0.97,2.34,2.03
CHI,PF,18.8,7.08,2.62,1.38,28.51,20.92,17.75,7.58,1.15,0.81,1.16
CHI,PG,17.07,4.62,6.56,1.94,28.26,18.23,20.0,8.46,1.18,0.31,2.19
CHI,SF,15.0,6.13,3.43,1.87,24.56,16.97,15.12,7.5,1.35,0.63,2.2
CHI,SG,13.86,3.8,3.15,2.01,20.81,11.55,11.16,4.45,1.42,0.51,1.21
CLE,C,15.33,10.11,2.96,0.99,28.4,17.15,12.12,8.88,1.4,1.39,2.82
CLE,PF,19.24,9.44,3.13,2.54,31.81,16.84,13.12,8.03,1.25,0.54,3.36
CLE,PG,17.2,3.85,7.13,1.85,28.18,15.27,17.63,8.03,1.12,0.17,2.51
CLE,SF,19.51,6.64,2.97,2.3,29.13,18.43,16.54,6.92,1.58,0.69,2.16
CLE,SG,13.17,3.84,3.24,1.54,20.24,10.56,10.52,3.88,1.07,0.56,1.55
DAL,C,17.57,11.29,2.77,0.73,31.63,18.78,13.59,8.81,1.07,1.89,2.32
DAL,PF,16.61,7.25,2.2,1.66,26.06,18.96,15.48,7.26,1.89,1.28,1.92
DAL,PG,16.36,6.06,6.84,1.83,29.26,16.23,17.04,9.12,2.03,0.18,2.86
DAL,SF,13.74,6.63,2.99,1.71,23.36,15.32,13.22,6.59,1.36,0.45,1.61
DAL,SG,14.0,5.9,2.9,1.88,22.8,12.91,11.55,5.5,2.01,0.55,1.71
DEN,C,14.98,10.39,2.64,0.94,28.02,15.17,10.94,7.54,1.07,0.92,1.73
DEN,PF,15.32,5.98,3.26,1.39,24.56,16.22,14.62,6.72,1.02,0.97,1.8
DEN,PG,14.98,4.92,5.24,2.02,25.14,12.89,13.67,6.19,1.58,0.09,2.18
DEN,SF,16.54,5.74,3.35,2.1,25.63,17.44,15.88,6.84,1.83,0.92,1.8
DEN,SG,14.45,4.27,3.8,2.0,22.52,12.09,11.93,4.67,0.93,0.39,1.46
DET,C,14.07,10.21,2.39,1.3,26.66,15.0,10.76,7.54,1.07,1.25,2.04
DET,PF,16.41,7.73,2.38,2.35,26.52,14.88,11.71,6.34,1.02,1.11,2.25
DET,PG,17.92,3.87,4.99,2.24,26.78,16.25,17.0,6.96,1.87,0.35,3.79
DET,SF,17.93,4.7,2.37,2.21,25.0,17.53,16.17,5.1,1.05,0.33,2.27
DET,SG,12.74,3.83,4.0,2.15,20.58,10.98,10.67,4.69,1.09,0.42,2.0
GSW,C,16.65,11.4,3.06,0.95,31.11,17.8,13.1,8.85,0.43,2.28,1.66
GSW,PF,19.12,7.09,2.23,2.14,28.43,15.29,12.49,6.0,0.98,0.38,2.34
GSW,PG,18.7,4.81,6.68,2.24,30.19,19.03,20.43,9.06,1.56,0.43,2.93
GSW,SF,14.4,5.45,3.08,1.72,22.93,14.81,13.03,6.61,1.71,0.46,2.41
GSW,SG,13.23,5.1,3.78,1.63,22.11,11.58,10.91,4.67,1.74,0.17,2.02
HOU,C,15.65,9.36,2.49,1.11,27.5,14.1,10.55,6.52,0.73,1.51,1.27
HOU,PF,15.62,7.19,2.69,1.65,25.51,14.66,12.56,5.53,0.99,0.41,2.01
