Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1.0,Mikal Bridges,28.0,NYK,SF,82.0,82.0,3036.0,0.5,0.594,0.354,0.57,0.814,0.585,0.1,0.391,107.0,109.0,98.0,105.0,104.0,101.0,41.0,93.0,63.1,20.9
2.0,Josh Hart,29.0,NYK,SG,77.0,77.0,2897.0,0.525,0.618,0.333,0.579,0.776,0.611,0.266,0.327,112.0,113.0,93.0,107.0,99.0,106.0,110.0,78.0,55.7,59.7
3.0,Anthony Edwards,23.0,MIN,SG,79.0,79.0,2871.0,0.447,0.501,0.395,0.547,0.837,0.595,0.308,0.503,96.0,92.0,110.0,101.0,107.0,103.0,127.0,119.0,11.2,67.9
4.0,Devin Booker,28.0,PHO,SG,75.0,75.0,2795.0,0.461,0.542,0.332,0.525,0.894,0.589,0.34,0.388,99.0,99.0,92.0,97.0,115.0,102.0,140.0,92.0,-51.3,41.7
5.0,James Harden,35.0,LAC,PG,79.0,79.0,2789.0,0.41,0.472,0.352,0.501,0.874,0.582,0.446,0.516,88.0,87.0,98.0,92.0,112.0,101.0,184.0,122.0,-109.5,16.6
6.0,DeMar DeRozan,35.0,SAC,SF,77.0,77.0,2768.0,0.477,0.513,0.328,0.509,0.857,0.569,0.337,0.196,102.0,94.0,91.0,94.0,110.0,99.0,139.0,46.0,-88.7,-20.9
7.0,Trae Young,26.0,ATL,PG,76.0,76.0,2739.0,0.411,0.474,0.34,0.491,0.875,0.567,0.408,0.467,88.0,87.0,94.0,90.0,112.0,98.0,168.0,111.0,-144.5,-29.1
8.0,Tyler Herro,25.0,MIA,SG,77.0,77.0,2725.0,0.472,0.565,0.375,0.563,0.878,0.605,0.237,0.486,101.0,104.0,104.0,104.0,113.0,105.0,98.0,115.0,56.3,86.2
9.0,OG Anunoby,27.0,NYK,PF,74.0,74.0,2706.0,0.476,0.561,0.372,0.559,0.81,0.591,0.22,0.448,102.0,103.0,103.0,103.0,104.0,103.0,91.0,106.0,33.5,33.9
10.0,Jalen Green,22.0,HOU,SG,82.0,82.0,2697.0,0.423,0.482,0.354,0.505,0.813,0.544,0.234,0.46,91.0,88.0,98.0,93.0,104.0,94.0,96.0,109.0,-110.8,-103.3
11.0,Christian Braun,23.0,DEN,SG,79.0,77.0,2675.0,0.58,0.648,0.397,0.634,0.827,0.665,0.261,0.273,124.0,119.0,110.0,117.0,106.0,115.0,107.0,65.0,149.3,163.4
12.0,Bam Adebayo,27.0,MIA,C,78.0,78.0,2674.0,0.485,0.517,0.357,0.521,0.765,0.561,0.295,0.199,104.0,95.0,99.0,96.0,98.0,97.0,121.0,47.0,-49.9,-38.9
13.0,Ivica Zubac,27.0,LAC,C,80.0,80.0,2624.0,0.628,0.628,,0.628,0.661,0.641,0.251,0.0,135.0,115.0,,116.0,85.0,111.0,103.0,0.0,160.9,134.8
14.0,Jayson Tatum,26.0,BOS,PF,72.0,72.0,2624.0,0.452,0.559,0.343,0.537,0.814,0.582,0.3,0.497,97.0,103.0,95.0,99.0,104.0,101.0,124.0,118.0,-17.2,20.7
15.0,Jaden McDaniels,24.0,MIN,PF,82.0,82.0,2614.0,0.477,0.561,0.33,0.537,0.813,0.562,0.153,0.363,102.0,103.0,92.0,99.0,104.0,97.0,63.0,86.0,-9.8,-26.0
16.0,Keegan Murray,24.0,SAC,PF,76.0,76.0,2610.0,0.444,0.566,0.343,0.538,0.833,0.553,0.088,0.548,95.0,104.0,95.0,99.0,107.0,96.0,36.0,130.0,-8.6,-39.5
17.0,Zach LaVine,29.0,2TM,SG,74.0,74.0,2602.0,0.511,0.562,0.446,0.609,0.825,0.639,0.233,0.438,109.0,103.0,124.0,112.0,106.0,111.0,96.0,104.0,160.6,170.1
17.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,1432.0,0.511,0.56,0.446,0.607,0.797,0.637,0.256,0.43,109.0,103.0,124.0,112.0,102.0,111.0,106.0,102.0,90.8,96.5
17.0,Zach LaVine,29.0,SAC,SG,32.0,32.0,1170.0,0.511,0.564,0.446,0.611,0.874,0.642,0.201,0.45,109.0,103.0,124.0,113.0,112.0,111.0,83.0,107.0,69.8,73.6
18.0,Shai Gilgeous-Alexander,26.0,OKC,PG,76.0,76.0,2598.0,0.519,0.571,0.375,0.569,0.898,0.637,0.404,0.263,111.0,105.0,104.0,105.0,115.0,111.0,166.0,62.0,84.4,236.4
19.0,Michael Porter Jr.,26.0,DEN,SF,77.0,77.0,2593.0,0.504,0.599,0.395,0.596,0.768,0.617,0.185,0.467,108.0,110.0,110.0,110.0,98.0,107.0,76.0,111.0,110.7,91.9
20.0,Derrick White,30.0,BOS,SG,76.0,76.0,2574.0,0.442,0.593,0.384,0.58,0.839,0.606,0.168,0.721,95.0,109.0,106.0,107.0,108.0,105.0,69.0,171.0,71.4,61.2
21.0,Dyson Daniels,21.0,ATL,SG,76.0,76.0,2571.0,0.493,0.545,0.34,0.536,0.593,0.545,0.152,0.255,106.0,100.0,95.0,99.0,76.0,95.0,62.0,60.0,-12.5,-61.6
22.0,Nikola Jokić,29.0,DEN,C,70.0,70.0,2571.0,0.576,0.627,0.417,0.627,0.8,0.663,0.331,0.243,123.0,115.0,116.0,115.0,103.0,115.0,136.0,58.0,228.5,270.5
23.0,Austin Reaves,26.0,LAL,SG,73.0,73.0,2550.0,0.46,0.547,0.377,0.556,0.877,0.616,0.353,0.512,98.0,100.0,105.0,102.0,112.0,107.0,145.0,122.0,27.7,94.4
24.0,Toumani Camara,24.0,POR,PF,78.0,78.0,2548.0,0.458,0.542,0.375,0.552,0.722,0.572,0.176,0.503,98.0,99.0,104.0,102.0,93.0,99.0,72.0,119.0,13.3,-7.0
25.0,Pascal Siakam,30.0,IND,PF,78.0,78.0,2548.0,0.519,0.568,0.389,0.572,0.734,0.599,0.261,0.274,111.0,104.0,108.0,105.0,94.0,104.0,107.0,65.0,68.2,59.7
26.0,Brook Lopez,36.0,MIL,C,80.0,80.0,2546.0,0.509,0.636,0.373,0.599,0.826,0.624,0.178,0.482,109.0,117.0,103.0,110.0,106.0,108.0,73.0,114.0,86.3,79.1
27.0,Karl-Anthony Towns,29.0,NYK,C,72.0,72.0,2517.0,0.526,0.567,0.42,0.584,0.829,0.63,0.337,0.278,113.0,104.0,117.0,108.0,106.0,109.0,139.0,66.0,100.3,151.5
28.0,Bub Carrington,19.0,WAS,PG,82.0,57.0,2458.0,0.401,0.475,0.339,0.493,0.812,0.514,0.114,0.544,86.0,87.0,94.0,91.0,104.0,89.0,47.0,129.0,-74.4,-98.1
29.0,Cade Cunningham,23.0,DET,PG,70.0,70.0,2452.0,0.469,0.515,0.356,0.521,0.846,0.565,0.254,0.287,100.0,94.0,99.0,96.0,108.0,98.0,105.0,68.0,-65.5,-36.6
30.0,Tyrese Haliburton,24.0,IND,PG,73.0,73.0,2451.0,0.473,0.581,0.388,0.582,0.851,0.616,0.221,0.559,101.0,107.0,108.0,107.0,109.0,107.0,91.0,133.0,77.3,87.1
31.0,Coby White,24.0,CHI,SG,74.0,73.0,2450.0,0.453,0.544,0.37,0.55,0.902,0.601,0.274,0.521,97.0,100.0,103.0,101.0,116.0,104.0,113.0,124.0,14.4,61.5
32.0,LeBron James,40.0,LAL,SF,70.0,70.0,2444.0,0.513,0.574,0.376,0.571,0.782,0.604,0.261,0.312,110.0,105.0,104.0,105.0,100.0,105.0,107.0,74.0,71.6,78.6
33.0,Domantas Sabonis,28.0,SAC,C,70.0,70.0,2429.0,0.59,0.627,0.417,0.627,0.754,0.655,0.324,0.175,126.0,115.0,116.0,115.0,97.0,114.0,133.0,41.0,149.1,161.4
34.0,Jamal Murray,27.0,DEN,PG,67.0,67.0,2418.0,0.474,0.518,0.393,0.543,0.886,0.584,0.219,0.354,101.0,95.0,109.0,100.0,114.0,101.0,90.0,84.0,0.4,19.4
35.0,Alperen Şengün,22.0,HOU,C,76.0,76.0,2395.0,0.496,0.519,0.233,0.505,0.692,0.545,0.374,0.079,106.0,95.0,65.0,93.0,89.0,95.0,154.0,19.0,-86.5,-83.2
36.0,Dillon Brooks,29.0,HOU,SF,75.0,75.0,2388.0,0.429,0.465,0.397,0.533,0.818,0.555,0.135,0.524,92.0,85.0,110.0,98.0,105.0,96.0,56.0,124.0,-18.1,-39.7
37.0,Rudy Gobert,32.0,MIN,C,72.0,72.0,2388.0,0.669,0.669,,0.669,0.674,0.687,0.535,0.0,143.0,123.0,,123.0,86.0,119.0,220.0,0.0,128.1,139.9
38.0,Tobias Harris,32.0,DET,PF,73.0,73.0,2305.0,0.477,0.542,0.345,0.534,0.861,0.571,0.206,0.328,102.0,99.0,96.0,98.0,110.0,99.0,85.0,78.0,-15.3,-9.8
39.0,Darius Garland,25.0,CLE,PG,75.0,75.0,2301.0,0.472,0.53,0.401,0.562,0.878,0.6,0.217,0.451,101.0,97.0,111.0,104.0,113.0,104.0,89.0,107.0,44.9,61.8
40.0,Jalen Brunson,28.0,NYK,PG,65.0,65.0,2301.0,0.488,0.539,0.383,0.551,0.821,0.605,0.373,0.331,104.0,99.0,106.0,101.0,105.0,105.0,154.0,79.0,18.6,80.0
41.0,Jarrett Allen,26.0,CLE,C,82.0,82.0,2296.0,0.706,0.712,0.0,0.706,0.718,0.724,0.433,0.008,151.0,131.0,0.0,130.0,92.0,126.0,178.0,2.0,208.9,225.0
42.0,Chris Paul,39.0,SAS,PG,82.0,82.0,2292.0,0.427,0.514,0.377,0.547,0.924,0.58,0.158,0.636,91.0,94.0,105.0,101.0,118.0,101.0,65.0,151.0,4.8,4.5
43.0,Anfernee Simons,25.0,POR,SG,70.0,70.0,2292.0,0.426,0.496,0.363,0.521,0.902,0.557,0.172,0.527,91.0,91.0,101.0,96.0,116.0,97.0,71.0,125.0,-48.9,-46.8
44.0,Giannis Antetokounmpo,30.0,MIL,PF,67.0,67.0,2289.0,0.601,0.62,0.222,0.607,0.617,0.625,0.536,0.048,129.0,114.0,62.0,112.0,79.0,108.0,221.0,11.0,167.4,157.5
45.0,Malik Beasley,28.0,DET,SG,82.0,18.0,2283.0,0.43,0.466,0.416,0.579,0.679,0.59,0.131,0.715,92.0,85.0,116.0,107.0,87.0,102.0,54.0,170.0,77.7,30.8
46.0,Kentavious Caldwell-Pope,31.0,ORL,SG,77.0,77.0,2279.0,0.439,0.589,0.342,0.543,0.863,0.574,0.175,0.607,94.0,108.0,95.0,100.0,111.0,100.0,72.0,144.0,0.1,-2.1
47.0,Nikola Vučević,34.0,CHI,C,73.0,72.0,2278.0,0.53,0.587,0.402,0.592,0.805,0.611,0.144,0.309,113.0,108.0,112.0,109.0,103.0,106.0,59.0,73.0,101.6,77.3
48.0,Payton Pritchard,27.0,BOS,PG,80.0,3.0,2271.0,0.472,0.642,0.407,0.62,0.845,0.633,0.097,0.723,101.0,118.0,113.0,114.0,108.0,110.0,40.0,172.0,132.4,103.4
49.0,Kevin Durant,36.0,PHO,PF,62.0,62.0,2265.0,0.527,0.574,0.43,0.598,0.839,0.642,0.321,0.331,113.0,105.0,119.0,110.0,108.0,111.0,132.0,79.0,123.2,168.7
50.0,Shaedon Sharpe,21.0,POR,SG,72.0,52.0,2252.0,0.452,0.557,0.311,0.519,0.785,0.551,0.219,0.428,97.0,102.0,86.0,95.0,101.0,96.0,90.0,102.0,-54.1,-59.9
51.0,Stephen Curry,36.0,GSW,PG,70.0,70.0,2252.0,0.448,0.534,0.397,0.572,0.933,0.618,0.238,0.623,96.0,98.0,110.0,105.0,120.0,107.0,98.0,148.0,72.6,116.7
52.0,De'Aaron Fox,27.0,2TM,PG,62.0,62.0,2241.0,0.463,0.538,0.31,0.514,0.827,0.56,0.273,0.328,99.0,99.0,86.0,95.0,106.0,97.0,113.0,78.0,-67.2,-42.5
52.0,De'Aaron Fox,27.0,SAC,PG,45.0,45.0,1663.0,0.469,0.539,0.322,0.521,0.829,0.567,0.279,0.324,100.0,99.0,89.0,96.0,106.0,98.0,115.0,77.0,-39.1,-18.3
52.0,De'Aaron Fox,27.0,SAS,PG,17.0,17.0,578.0,0.446,0.535,0.274,0.493,0.819,0.537,0.257,0.339,96.0,98.0,76.0,91.0,105.0,93.0,106.0,81.0,-28.1,-24.2
53.0,Jalen Williams,23.0,OKC,SG,69.0,69.0,2237.0,0.484,0.533,0.365,0.537,0.789,0.573,0.256,0.291,104.0,98.0,101.0,99.0,101.0,99.0,105.0,69.0,-14.6,-7.6
54.0,Donovan Mitchell,28.0,CLE,SG,71.0,71.0,2232.0,0.443,0.512,0.368,0.531,0.823,0.575,0.274,0.48,95.0,94.0,102.0,98.0,106.0,100.0,113.0,114.0,-30.7,-3.7
55.0,Harrison Barnes,32.0,SAS,PF,82.0,82.0,2230.0,0.508,0.591,0.433,0.622,0.809,0.656,0.291,0.527,109.0,108.0,120.0,115.0,104.0,114.0,120.0,125.0,108.2,123.0
56.0,Julius Randle,30.0,MIN,PF,69.0,69.0,2226.0,0.485,0.555,0.344,0.542,0.806,0.593,0.357,0.334,104.0,102.0,95.0,100.0,103.0,103.0,147.0,79.0,-1.9,36.1
57.0,Amen Thompson,22.0,HOU,SF,69.0,42.0,2225.0,0.557,0.599,0.275,0.575,0.684,0.602,0.354,0.131,119.0,110.0,76.0,106.0,88.0,104.0,146.0,31.0,44.0,41.6
58.0,Jaren Jackson Jr.,25.0,MEM,C,74.0,74.0,2207.0,0.488,0.541,0.375,0.548,0.781,0.591,0.328,0.321,104.0,99.0,104.0,101.0,100.0,103.0,135.0,76.0,12.5,41.4
59.0,Desmond Bane,26.0,MEM,SG,69.0,68.0,2205.0,0.484,0.548,0.392,0.565,0.894,0.6,0.194,0.411,104.0,101.0,109.0,104.0,115.0,104.0,80.0,97.0,44.3,53.5
60.0,Naz Reid,25.0,MIN,C,80.0,17.0,2200.0,0.462,0.544,0.379,0.556,0.776,0.577,0.155,0.501,99.0,100.0,105.0,102.0,100.0,100.0,64.0,119.0,24.5,1.8
61.0,Tyus Jones,28.0,PHO,PG,81.0,58.0,2174.0,0.448,0.496,0.414,0.57,0.895,0.585,0.083,0.587,96.0,91.0,115.0,105.0,115.0,102.0,34.0,139.0,36.2,13.0
62.0,Myles Turner,28.0,IND,C,72.0,72.0,2174.0,0.481,0.561,0.396,0.577,0.773,0.612,0.293,0.486,103.0,103.0,110.0,106.0,99.0,106.0,121.0,115.0,55.1,64.7
63.0,Evan Mobley,23.0,CLE,PF,71.0,71.0,2167.0,0.557,0.621,0.37,0.604,0.725,0.633,0.337,0.254,119.0,114.0,103.0,111.0,93.0,110.0,139.0,60.0,111.0,117.3
64.0,Taurean Prince,30.0,MIL,SF,80.0,73.0,2166.0,0.457,0.492,0.439,0.6,0.813,0.613,0.093,0.652,98.0,90.0,122.0,111.0,104.0,106.0,38.0,155.0,58.7,39.3
65.0,Stephon Castle,20.0,SAS,SG,81.0,47.0,2162.0,0.428,0.501,0.285,0.476,0.724,0.522,0.348,0.337,92.0,92.0,79.0,88.0,93.0,91.0,143.0,80.0,-132.1,-123.0
66.0,Deni Avdija,24.0,POR,SF,72.0,54.0,2161.0,0.476,0.552,0.365,0.55,0.78,0.605,0.441,0.405,102.0,101.0,101.0,101.0,100.0,105.0,181.0,96.0,12.3,57.8
67.0,Jaylen Brown,28.0,BOS,SF,63.0,63.0,2158.0,0.463,0.529,0.324,0.515,0.764,0.555,0.288,0.32,99.0,97.0,90.0,95.0,98.0,96.0,119.0,76.0,-62.3,-53.6
68.0,Tim Hardaway Jr.,32.0,DET,SG,77.0,77.0,2153.0,0.406,0.484,0.368,0.529,0.855,0.567,0.213,0.672,87.0,89.0,102.0,97.0,110.0,98.0,88.0,160.0,-18.6,-13.1
69.0,Bennedict Mathurin,22.0,IND,SF,72.0,49.0,2149.0,0.458,0.519,0.34,0.516,0.831,0.579,0.389,0.338,98.0,95.0,94.0,95.0,107.0,100.0,160.0,80.0,-46.5,4.7
70.0,Spencer Dinwiddie,31.0,DAL,PG,79.0,30.0,2136.0,0.416,0.492,0.334,0.496,0.802,0.553,0.356,0.478,89.0,90.0,93.0,91.0,103.0,96.0,147.0,113.0,-63.7,-37.1
71.0,Scottie Barnes,23.0,TOR,PF,65.0,65.0,2134.0,0.446,0.508,0.271,0.482,0.755,0.523,0.284,0.263,95.0,93.0,75.0,89.0,97.0,91.0,117.0,63.0,-130.6,-126.1
72.0,Max Christie,21.0,2TM,SG,78.0,36.0,2127.0,0.427,0.496,0.366,0.525,0.855,0.57,0.258,0.532,91.0,91.0,102.0,97.0,110.0,99.0,106.0,126.0,-21.8,-8.0
