Rank,Team,2025,Last 3,Last 1,Home,Away
1,Cleveland,31.1,28.7,31.0,31.5,30.7
2,Memphis,31.0,29.3,31.0,32.5,29.4
3,Denver,30.7,28.3,26.0,31.1,30.3
4,Okla City,30.6,27.3,25.0,31.0,30.2
5,LA Lakers,30.2,26.7,22.0,30.2,30.2
6,Boston,30.0,29.7,20.0,29.0,31.0
7,Milwaukee,29.7,26.7,30.0,30.8,28.7
8,Detroit,29.4,21.3,23.0,29.1,29.8
9,Atlanta,29.2,24.0,24.0,29.4,28.9
10,Phoenix,28.9,30.7,25.0,30.0,27.7
11,Sacramento,28.6,30.3,29.0,28.5,28.6
12,Dallas,28.4,26.3,24.0,28.2,28.6
13,Houston,28.4,28.0,19.0,28.6,28.1
14,New York,28.3,28.7,24.0,28.4,28.1
15,Chicago,28.3,27.7,28.0,28.8,27.8
16,Indiana,28.2,24.0,22.0,29.6,26.8
17,Miami,28.0,20.3,17.0,26.9,29.0
18,Utah,27.5,27.3,24.0,28.5,26.6
19,Minnesota,27.5,24.3,9.0,28.6,26.6
20,Washington,27.5,25.7,30.0,27.4,27.6
21,Philadelphia,27.5,26.7,29.0,27.3,27.7
22,LA Clippers,27.5,24.7,26.0,28.7,26.4
23,San Antonio,27.5,29.3,32.0,28.1,26.9
24,Toronto,27.3,29.0,37.0,27.7,26.9
25,Orlando,27.1,29.0,27.0,26.8,27.4
26,Brooklyn,26.7,22.3,37.0,25.6,27.9
27,Golden State,26.7,24.0,23.0,27.4,26.0
28,New Orleans,26.7,23.0,19.0,27.7,25.7
29,Portland,26.5,25.7,29.0,26.4,26.5
30,Charlotte,25.0,21.0,15.0,25.0,25.0
