Rank,Team,2025,Last 3,Last 1,Home,Away
1,Cleveland,60.3,59.7,49.0,58.6,62.0
2,Memphis,59.8,44.7,56.0,59.5,60.0
3,Chicago,59.7,59.0,43.0,58.4,61.0
4,Indiana,58.6,50.3,43.0,57.5,59.7
5,San Antonio,58.6,60.3,71.0,58.5,58.8
6,Golden State,58.2,56.0,63.0,56.9,59.4
7,Okla City,58.0,55.3,56.0,59.9,56.1
8,Minnesota,57.8,67.3,62.0,59.1,56.5
9,Atlanta,57.7,53.3,53.0,58.9,56.7
10,Denver,57.6,52.3,47.0,59.7,55.5
11,Utah,56.8,56.0,56.0,54.8,58.8
12,Sacramento,56.7,53.7,58.0,57.5,55.8
13,Portland,56.6,54.0,51.0,58.0,55.1
14,Dallas,56.5,49.7,57.0,57.4,55.7
15,LA Clippers,56.4,54.3,54.0,56.3,56.6
16,Phoenix,56.4,51.0,44.0,56.3,56.5
17,Houston,56.3,55.7,50.0,55.5,57.2
18,New York,56.0,55.3,54.0,57.7,54.3
19,Milwaukee,55.8,59.0,56.0,58.0,53.7
20,Toronto,55.8,60.3,44.0,56.1,55.4
21,Detroit,55.7,53.0,52.0,55.3,56.1
22,New Orleans,55.5,52.7,51.0,55.5,55.5
23,Boston,55.5,54.3,44.0,57.1,53.8
24,Philadelphia,53.9,53.0,46.0,53.9,53.9
25,Washington,53.5,50.7,53.0,55.1,51.9
26,LA Lakers,53.4,49.3,47.0,54.1,52.7
27,Charlotte,53.4,45.0,43.0,54.4,52.3
28,Miami,53.1,52.0,50.0,54.8,51.5
29,Orlando,51.8,45.3,40.0,53.2,50.5
30,Brooklyn,51.1,47.3,39.0,51.8,50.4
