Rank,Team,2025,Last 3,Last 1,Home,Away
1,Memphis,31.8,23.7,26.0,31.5,32.0
2,Chicago,31.0,34.0,27.0,30.8,31.2
3,Denver,30.7,29.3,26.0,32.8,28.6
4,Cleveland,30.6,29.7,20.0,29.8,31.4
5,San Antonio,30.3,25.7,39.0,30.8,29.9
6,Okla City,30.2,26.7,34.0,30.9,29.4
7,Golden State,29.9,24.3,25.0,30.1,29.7
8,Indiana,29.7,26.7,20.0,29.4,30.1
9,Houston,29.5,29.0,23.0,28.4,30.6
10,Minnesota,29.4,31.0,30.0,29.9,29.0
11,Portland,29.4,28.0,31.0,30.5,28.2
12,Atlanta,29.2,28.0,24.0,29.3,29.1
13,LA Clippers,29.0,25.0,19.0,29.3,28.8
14,Sacramento,29.0,27.7,33.0,29.7,28.3
15,Milwaukee,28.9,33.0,28.0,29.3,28.6
16,Boston,28.9,25.0,20.0,30.2,27.6
17,New York,28.8,28.0,23.0,30.0,27.6
18,Detroit,28.8,26.7,24.0,28.6,28.9
19,Phoenix,28.8,28.7,21.0,28.3,29.2
20,Utah,28.4,27.0,28.0,27.9,28.9
21,Toronto,28.3,28.3,21.0,27.9,28.6
22,Dallas,28.3,26.0,29.0,28.3,28.2
23,New Orleans,27.7,24.0,23.0,28.0,27.4
24,Miami,27.6,27.0,30.0,29.0,26.2
25,Philadelphia,27.3,24.7,19.0,27.5,27.0
26,LA Lakers,26.9,31.0,31.0,27.1,26.6
27,Washington,26.8,27.3,28.0,27.9,25.9
28,Charlotte,26.7,23.3,25.0,27.1,26.2
29,Brooklyn,25.7,22.3,17.0,26.1,25.4
30,Orlando,25.7,21.3,13.0,26.3,25.1
