Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,4.2,3.3,3.0,5.0,3.3
2,Cleveland,4.0,-1.0,12.0,5.5,2.5
3,Boston,3.7,1.0,-6.0,4.4,3.1
4,LA Lakers,2.4,-3.7,-9.0,3.5,1.2
5,Houston,1.8,5.3,-4.0,1.6,2.0
6,Memphis,1.2,-2.3,-3.0,2.0,0.4
7,Detroit,0.9,-8.3,-14.0,-0.2,2.0
8,Denver,0.8,3.0,5.0,1.3,0.2
9,Minnesota,0.7,-1.3,-17.0,1.9,-0.4
10,Miami,0.6,-13.3,-26.0,-0.9,2.0
11,New York,0.6,-1.7,-1.0,1.4,-0.3
12,Milwaukee,0.5,3.7,17.0,2.2,-1.1
13,LA Clippers,0.2,-3.3,5.0,2.3,-1.9
14,Dallas,0.0,-9.0,-15.0,2.0,-1.8
15,Indiana,-0.4,-3.3,-3.0,1.8,-2.5
16,Golden State,-0.4,-2.0,-7.0,-0.1,-0.6
17,Orlando,-0.4,1.7,4.0,0.5,-1.3
18,Phoenix,-0.5,-1.0,-8.0,0.2,-1.1
19,Atlanta,-0.8,-5.7,-9.0,0.6,-2.1
20,Sacramento,-0.8,5.0,2.0,-0.7,-0.9
21,Brooklyn,-1.1,-10.7,-1.0,-1.6,-0.5
22,Chicago,-1.4,-3.0,-11.0,-1.1,-1.7
23,San Antonio,-1.4,-3.0,-5.0,-2.2,-0.7
24,Toronto,-1.5,-1.0,5.0,-2.2,-0.7
25,Philadelphia,-1.7,-0.3,0.0,-1.7,-1.7
26,Utah,-2.0,-7.3,-6.0,-1.7,-2.2
27,Portland,-2.0,0.7,4.0,-1.9,-2.2
28,Washington,-3.1,-0.7,2.0,-2.9,-3.4
29,New Orleans,-3.2,-8.3,-19.0,-2.1,-4.3
30,Charlotte,-3.8,-6.7,-18.0,-2.9,-4.8
