Rank,Team,2025,Last 3,Last 1,Home,Away
1,Cleveland,2.6,-4.3,-8.0,3.5,1.7
2,Okla City,2.6,-6.3,-4.0,4.6,0.5
3,Boston,1.9,-6.3,-21.0,1.5,2.4
4,New York,1.8,2.3,-3.0,2.9,0.8
5,LA Clippers,1.0,-2.7,-16.0,2.6,-0.5
6,Houston,0.9,1.3,-8.0,1.7,0.0
7,LA Lakers,0.8,0.7,-1.0,2.6,-1.1
8,Indiana,0.7,6.3,4.0,1.8,-0.3
9,Miami,0.6,-12.0,-13.0,0.7,0.6
10,Golden State,0.5,-1.7,-8.0,0.1,0.9
11,Memphis,0.5,4.7,2.0,2.6,-1.6
12,Milwaukee,0.5,-8.7,-11.0,0.6,0.3
13,Detroit,0.4,6.3,16.0,1.3,-0.4
14,Portland,0.4,-1.0,11.0,1.0,-0.2
15,Minnesota,0.4,-2.0,-16.0,-0.4,1.1
16,Sacramento,0.3,-12.0,-25.0,1.0,-0.3
17,Dallas,0.2,6.7,-2.0,0.3,0.1
18,Phoenix,-0.3,3.7,5.0,-0.8,0.2
19,Orlando,-0.4,-6.0,-2.0,-0.5,-0.4
20,Atlanta,-0.7,2.0,0.0,-2.4,0.9
21,Denver,-0.7,-8.0,-19.0,-0.6,-0.9
22,Toronto,-0.7,1.0,15.0,-0.4,-1.1
23,Philadelphia,-0.8,5.7,7.0,0.1,-1.8
24,San Antonio,-1.1,-4.3,-15.0,0.0,-2.1
25,Brooklyn,-1.5,0.0,5.0,-2.6,-0.4
26,Chicago,-1.5,-2.3,-13.0,-2.1,-0.9
27,Utah,-2.2,3.0,5.0,-2.1,-2.4
28,New Orleans,-2.4,-5.0,4.0,-2.1,-2.6
29,Charlotte,-2.8,0.0,7.0,-2.9,-2.7
30,Washington,-3.2,-3.3,4.0,-3.0,-3.4
