Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,9.8,-3.0,13.0,13.6,5.9
2,Boston,8.3,-7.7,-35.0,9.7,6.9
3,Cleveland,6.9,-7.7,-9.0,8.6,5.2
4,Houston,4.8,7.0,-8.0,5.2,4.4
5,Memphis,3.8,-2.0,-3.0,7.1,0.6
6,New York,3.6,-3.0,-15.0,6.6,0.6
7,LA Clippers,3.0,-10.7,-27.0,7.9,-1.7
8,Denver,2.5,-3.0,-25.0,5.4,-0.3
9,Minnesota,2.4,2.0,-26.0,4.1,0.7
10,LA Lakers,1.9,2.3,-1.0,5.0,-1.3
11,Detroit,1.7,-0.3,-11.0,0.8,2.5
12,Milwaukee,1.6,-2.0,0.0,3.8,-0.6
13,Golden State,1.5,-12.3,-21.0,1.4,1.6
14,Miami,0.3,-28.3,-48.0,-0.5,1.2
15,Indiana,0.3,3.0,-13.0,4.1,-3.4
16,Sacramento,0.0,-4.0,-18.0,0.6,-0.5
17,Orlando,-1.2,-7.3,-21.0,0.1,-2.4
18,Dallas,-1.2,-9.7,-18.0,2.0,-4.1
19,Portland,-1.8,4.3,28.0,0.7,-4.2
20,Chicago,-1.9,8.3,-14.0,-2.1,-1.7
21,Atlanta,-2.2,-2.3,-9.0,-2.8,-1.6
22,Phoenix,-2.4,1.7,-11.0,-0.5,-4.4
23,San Antonio,-2.5,-14.0,-2.0,0.0,-5.0
24,Toronto,-3.3,-2.3,2.0,-3.2,-3.3
25,Philadelphia,-4.2,-2.3,-11.0,-3.8,-4.5
26,Brooklyn,-5.3,-20.0,-6.0,-7.1,-3.5
27,Utah,-7.3,-13.0,-13.0,-6.0,-8.6
28,Charlotte,-8.5,-12.3,-1.0,-5.8,-11.2
29,New Orleans,-8.6,-23.7,-18.0,-5.5,-11.6
30,Washington,-10.3,-10.0,8.0,-10.4,-10.2
