Rank,Team,2025,Last 3,Last 1,Home,Away
1,LA Clippers,77.1%,74.6%,73.8%,78.0%,76.2%
2,Orlando,77.1%,79.8%,90.6%,77.5%,76.6%
3,Sacramento,76.9%,78.3%,74.4%,75.9%,77.8%
4,Milwaukee,76.7%,82.9%,81.6%,76.2%,77.1%
5,Chicago,76.6%,81.1%,77.5%,76.3%,76.9%
6,Houston,76.2%,71.7%,92.7%,76.5%,75.9%
7,Detroit,76.0%,72.0%,69.8%,74.7%,77.3%
8,Atlanta,75.9%,73.2%,71.7%,77.0%,74.8%
9,Miami,75.8%,75.5%,78.9%,76.4%,75.3%
10,Boston,75.6%,67.5%,64.3%,75.4%,75.8%
11,Cleveland,75.2%,85.5%,86.1%,76.2%,74.2%
12,Brooklyn,75.0%,79.5%,78.3%,74.7%,75.4%
13,Golden State,74.9%,73.7%,78.6%,74.3%,75.4%
14,Memphis,74.8%,72.6%,77.4%,75.1%,74.5%
15,Denver,74.8%,77.9%,68.1%,75.6%,74.0%
16,Minnesota,74.8%,74.8%,81.6%,74.2%,75.3%
17,New York,74.6%,83.0%,82.4%,74.7%,74.5%
18,Charlotte,74.5%,71.9%,68.8%,74.8%,74.1%
19,Okla City,74.4%,68.7%,69.2%,73.3%,75.4%
20,Indiana,74.3%,73.5%,71.7%,74.6%,74.0%
21,LA Lakers,74.2%,66.7%,61.7%,74.5%,73.9%
22,Utah,74.1%,75.2%,64.6%,74.1%,74.2%
23,Phoenix,74.1%,80.7%,73.7%,74.6%,73.5%
24,Toronto,73.9%,78.7%,76.9%,72.9%,75.0%
25,San Antonio,73.0%,72.7%,77.4%,74.2%,71.8%
26,Dallas,72.9%,63.8%,64.4%,72.9%,72.9%
27,New Orleans,72.7%,72.2%,67.9%,71.8%,73.6%
28,Portland,72.5%,72.9%,69.0%,73.3%,71.7%
29,Washington,71.9%,72.2%,80.4%,71.4%,72.5%
30,Philadelphia,71.8%,69.7%,71.7%,72.3%,71.3%
