Rank,Team,2025,Last 3,Last 1,Home,Away
1,Denver,23.3,22.3,22.0,24.8,21.9
2,Atlanta,23.2,18.7,12.0,23.2,23.1
3,LA Lakers,23.1,23.3,25.0,24.0,22.1
4,Dallas,23.0,21.3,16.0,23.5,22.7
5,Memphis,23.0,23.3,30.0,23.1,23.0
6,Houston,23.0,35.0,21.0,22.3,23.8
7,Milwaukee,23.0,21.7,26.0,23.8,22.3
8,Orlando,23.0,22.7,22.0,23.8,22.2
9,Detroit,22.6,28.7,33.0,23.5,21.8
10,Philadelphia,22.5,24.7,21.0,21.6,23.4
11,Cleveland,22.5,38.0,37.0,21.9,23.0
12,Utah,22.4,17.7,11.0,21.2,23.6
13,Indiana,22.2,28.0,29.0,23.3,21.2
14,Portland,22.2,23.7,21.0,23.1,21.3
15,Golden State,22.0,28.0,30.0,21.4,22.6
16,New Orleans,21.9,23.0,30.0,22.1,21.8
17,Minnesota,21.8,20.0,15.0,22.1,21.6
18,Okla City,21.6,29.7,31.0,21.3,22.0
19,New York,21.6,29.0,26.0,21.8,21.4
20,LA Clippers,21.5,21.7,22.0,20.8,22.2
21,Sacramento,21.1,11.7,15.0,21.6,20.6
22,Toronto,21.1,15.3,16.0,21.5,20.7
23,San Antonio,21.0,21.0,32.0,22.1,19.9
24,Phoenix,20.8,12.0,6.0,19.5,22.0
25,Brooklyn,20.7,21.3,25.0,20.1,21.2
26,Washington,20.6,19.7,17.0,22.9,18.4
27,Miami,19.9,13.7,15.0,18.9,20.8
28,Charlotte,19.8,14.7,18.0,20.1,19.4
29,Chicago,19.7,19.7,17.0,18.8,20.6
30,Boston,19.5,20.7,10.0,19.1,19.9
