Rank,Team,2025,Last 3,Last 1,Home,Away
1,Cleveland,1.179,1.077,1.019,1.174,1.185
2,Boston,1.158,1.101,0.819,1.173,1.143
3,Okla City,1.149,1.045,1.076,1.18,1.116
4,Denver,1.148,1.028,0.908,1.166,1.129
5,New York,1.136,1.094,1.057,1.152,1.12
6,Sacramento,1.13,1.12,1.09,1.139,1.12
7,Memphis,1.128,1.035,1.08,1.147,1.11
8,Phoenix,1.126,1.106,1.069,1.133,1.12
9,Indiana,1.126,1.025,0.95,1.139,1.114
10,Minnesota,1.124,1.168,0.886,1.152,1.097
11,Milwaukee,1.122,1.098,1.084,1.146,1.1
12,LA Lakers,1.118,1.064,0.977,1.128,1.107
13,LA Clippers,1.117,1.126,0.993,1.135,1.099
14,Dallas,1.112,1.058,1.026,1.118,1.106
15,Houston,1.108,1.134,0.982,1.108,1.109
16,San Antonio,1.108,1.12,1.203,1.131,1.085
17,Detroit,1.107,1.02,1.077,1.107,1.108
18,Golden State,1.107,1.046,1.082,1.099,1.114
18,Atlanta,1.107,1.065,1.069,1.105,1.108
20,Chicago,1.105,1.049,0.893,1.092,1.117
21,Miami,1.099,0.976,0.822,1.113,1.085
22,Philadelphia,1.082,1.043,0.929,1.084,1.079
23,Portland,1.077,1.011,1.15,1.093,1.062
24,Utah,1.074,1.06,1.046,1.07,1.078
25,Toronto,1.068,1.111,1.136,1.079,1.057
26,New Orleans,1.067,0.982,0.948,1.075,1.059
27,Orlando,1.055,0.979,0.933,1.061,1.049
28,Brooklyn,1.048,1.008,1.054,1.036,1.061
29,Charlotte,1.036,0.925,0.921,1.056,1.017
30,Washington,1.033,0.989,1.157,1.037,1.029
