Rank,Team,2025,Last 3,Last 1,Home,Away
1,Orlando,26.0,24.3,36.0,26.2,25.8
2,Boston,26.3,27.3,28.0,26.3,26.2
3,Okla City,27.1,26.7,20.0,26.9,27.4
4,LA Clippers,27.2,29.7,35.0,26.3,28.1
5,Houston,27.4,28.7,19.0,26.5,28.3
6,New York,27.6,31.7,34.0,27.7,27.5
7,LA Lakers,28.1,25.7,22.0,28.2,28.1
8,Minnesota,28.2,25.7,23.0,27.3,29.0
9,Denver,28.2,27.3,37.0,28.1,28.2
10,Milwaukee,28.4,30.0,34.0,28.3,28.4
11,Brooklyn,28.4,31.7,27.0,28.9,27.9
12,Miami,28.4,30.0,39.0,29.3,27.7
12,Detroit,28.4,25.0,37.0,28.9,28.0
14,Golden State,28.5,33.0,31.0,28.6,28.3
15,Charlotte,28.5,29.0,15.0,27.1,29.9
16,Sacramento,28.5,24.7,28.0,29.4,27.6
17,Philadelphia,28.9,32.3,37.0,29.8,28.0
18,Toronto,29.4,30.7,39.0,28.6,30.1
19,Portland,29.5,23.3,18.0,28.9,30.1
20,Memphis,29.6,28.0,28.0,29.0,30.2
21,Dallas,29.6,33.3,30.0,28.5,30.7
22,Indiana,29.7,26.7,34.0,28.8,30.6
23,Atlanta,30.0,26.7,24.0,30.3,29.6
24,Chicago,30.0,20.3,17.0,29.7,30.3
25,Cleveland,30.3,32.0,33.0,30.2,30.4
26,San Antonio,30.3,32.3,21.0,28.6,32.0
27,Phoenix,30.5,29.7,29.0,28.2,32.7
28,New Orleans,30.6,34.3,26.0,29.2,32.1
29,Washington,30.9,33.3,26.0,32.5,29.4
30,Utah,31.5,35.7,40.0,30.1,32.9
