Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,46.8%,47.0%,43.8%,46.2%,47.5%
2,Boston,48.4%,53.0%,52.5%,48.9%,47.9%
3,Houston,48.7%,48.3%,47.5%,47.8%,49.6%
4,LA Clippers,48.7%,55.9%,55.2%,47.5%,49.8%
5,Orlando,48.9%,50.9%,56.8%,47.8%,49.9%
6,Minnesota,48.9%,50.6%,52.6%,48.6%,49.3%
7,Cleveland,49.0%,50.4%,49.4%,48.6%,49.3%
8,Golden State,49.1%,50.3%,54.4%,49.1%,49.2%
9,Miami,49.4%,56.7%,58.1%,50.2%,48.6%
10,Detroit,49.5%,47.7%,52.1%,49.4%,49.7%
11,Memphis,49.6%,52.3%,53.5%,49.0%,50.1%
12,Milwaukee,49.6%,50.8%,51.0%,49.0%,50.1%
13,New York,49.9%,50.9%,53.6%,49.7%,50.0%
14,LA Lakers,50.1%,53.2%,51.4%,49.2%,51.1%
15,Portland,50.4%,45.1%,39.1%,50.2%,50.5%
16,Atlanta,50.5%,51.6%,51.8%,50.2%,50.9%
17,Charlotte,50.6%,50.1%,43.5%,50.3%,50.8%
18,Sacramento,50.6%,51.2%,54.8%,50.6%,50.5%
19,Indiana,50.6%,48.6%,50.6%,50.3%,50.9%
20,Toronto,50.6%,50.6%,55.8%,50.7%,50.6%
21,Denver,50.7%,51.6%,56.5%,50.2%,51.3%
22,San Antonio,50.8%,50.2%,51.1%,51.2%,50.5%
23,Chicago,50.9%,43.2%,49.7%,50.5%,51.2%
24,Brooklyn,51.0%,55.0%,49.4%,51.1%,50.8%
25,Dallas,51.2%,52.6%,52.2%,49.9%,52.3%
26,Philadelphia,51.3%,49.8%,50.9%,51.7%,51.0%
27,Phoenix,52.0%,50.2%,51.8%,51.0%,53.1%
28,Washington,52.1%,52.1%,53.0%,52.4%,51.7%
29,New Orleans,52.1%,57.3%,50.9%,51.1%,53.1%
30,Utah,52.5%,53.0%,52.6%,52.2%,52.8%
