Rank,Team,2025,Last 3,Last 1,Home,Away
1,Miami,14.1%,17.1%,16.5%,14.0%,14.2%
2,San Antonio,14.5%,12.6%,11.2%,15.0%,13.9%
3,Boston,14.8%,19.0%,19.3%,14.8%,14.8%
4,Chicago,15.0%,13.7%,15.5%,14.1%,15.9%
5,Dallas,15.4%,12.7%,14.2%,15.8%,15.1%
6,LA Lakers,15.6%,20.9%,21.5%,15.5%,15.7%
7,Denver,15.6%,16.8%,16.2%,15.4%,15.8%
8,Cleveland,15.9%,23.1%,21.3%,15.9%,15.9%
9,New Orleans,15.9%,15.5%,15.5%,16.1%,15.8%
10,Milwaukee,15.9%,17.9%,19.5%,15.8%,16.1%
11,Phoenix,16.0%,11.0%,8.9%,15.5%,16.5%
12,New York,16.0%,19.7%,14.8%,16.0%,15.9%
13,Atlanta,16.3%,14.9%,15.0%,15.9%,16.6%
14,Utah,16.3%,15.1%,12.8%,16.4%,16.2%
15,Portland,16.5%,16.7%,14.8%,17.1%,16.0%
16,Charlotte,16.6%,12.7%,14.8%,17.5%,15.8%
17,LA Clippers,16.6%,16.6%,15.1%,16.4%,16.9%
18,Minnesota,16.7%,17.0%,17.7%,16.1%,17.2%
19,Houston,16.7%,16.0%,15.0%,16.8%,16.7%
20,Washington,16.8%,15.5%,12.5%,17.0%,16.6%
21,Sacramento,16.8%,14.3%,17.7%,17.0%,16.6%
22,Philadelphia,16.8%,14.2%,12.0%,16.6%,17.0%
23,Indiana,17.1%,19.6%,22.1%,17.3%,17.0%
24,Golden State,17.3%,21.3%,19.5%,17.1%,17.5%
25,Okla City,17.5%,19.6%,21.3%,16.9%,18.2%
26,Memphis,17.6%,19.4%,27.0%,17.4%,17.9%
27,Detroit,18.2%,18.5%,19.5%,18.3%,18.1%
28,Toronto,18.4%,16.0%,20.4%,18.1%,18.6%
29,Orlando,18.6%,21.6%,20.3%,18.7%,18.6%
30,Brooklyn,18.8%,22.7%,21.9%,19.1%,18.4%
